frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,770,346,936,415,84.394,67.429,0
1,0.01668,holding,770,346,936,415,84.394,67.429,0
2,0.03337,holding,770,346,938,413,84.394,68.257,0
3,0.05005,holding,770,346,938,413,84.394,68.257,0
4,0.06673,holding,770,346,938,413,84.394,68.257,0
5,0.08342,holding,770,346,938,413,84.394,68.257,0
6,0.1001,holding,770,346,938,413,84.394,68.257,0
7,0.11678,holding,770,346,938,413,84.394,68.257,0
8,0.13347,holding,770,346,936,415,84.394,67.429,0
9,0.15015,holding,770,346,936,415,84.394,67.429,0
10,0.16683,holding,770,346,936,416,84.394,67.135,0
11,0.18352,holding,769,347,935,416,84.009,67.429,0
12,0.2002,holding,770,346,935,416,84.394,67.011,0
13,0.21688,holding,770,347,935,416,84.046,67.306,0
14,0.23357,holding,770,347,936,417,84.046,67.135,0
15,0.25025,holding,770,347,935,417,84.046,67.011,0
16,0.26693,holding,770,347,935,417,84.046,67.011,0
17,0.28362,holding,770,347,935,417,84.046,67.011,0
18,0.3003,holding,770,347,935,417,84.046,67.011,0
19,0.31698,holding,770,347,935,418,84.046,66.718,0
20,0.33367,holding,770,347,935,418,84.046,66.718,0
21,0.35035,holding,770,347,935,418,84.046,66.718,0
22,0.36703,holding,770,347,935,418,84.046,66.718,0
23,0.38372,holding,770,347,935,418,84.046,66.718,0
24,0.4004,holding,770,347,935,418,84.046,66.718,0
25,0.41708,holding,770,347,935,418,84.046,66.718,0
26,0.43377,holding,770,347,935,418,84.046,66.718,0
27,0.45045,holding,770,347,934,418,84.046,66.591,0
28,0.46713,holding,770,347,934,418,84.046,66.591,0
29,0.48382,holding,770,347,934,418,84.046,66.591,0
30,0.5005,holding,770,347,934,418,84.046,66.591,0
31,0.51718,holding,770,347,934,418,84.046,66.591,0
32,0.53387,holding,770,347,934,418,84.046,66.591,0
33,0.55055,holding,770,347,934,418,84.046,66.591,0
34,0.56723,holding,770,347,934,418,84.046,66.591,0
35,0.58392,holding,770,347,934,418,84.046,66.591,0
36,0.6006,holding,770,347,934,417,84.046,66.886,0
37,0.61728,holding,769,347,933,417,84.009,66.886,0
38,0.63397,holding,770,347,934,417,84.046,66.886,0
39,0.65065,holding,770,347,934,417,84.046,66.886,0
40,0.66733,holding,770,347,934,417,84.046,66.886,0
41,0.68402,holding,770,347,934,417,84.046,66.886,0
42,0.7007,holding,770,347,934,417,84.046,66.886,0
43,0.71738,holding,770,347,934,417,84.046,66.886,0
44,0.73407,holding,770,347,934,417,84.046,66.886,0
45,0.75075,holding,770,347,933,417,84.046,66.759,0
46,0.76743,holding,770,347,933,418,84.046,66.463,0
47,0.78412,holding,770,347,933,418,84.046,66.463,0
48,0.8008,holding,770,347,933,418,84.046,66.463,0
49,0.81748,holding,770,347,933,418,84.046,66.463,0
50,0.83417,holding,770,347,933,418,84.046,66.463,0
51,0.85085,holding,770,347,933,418,84.046,66.463,0
52,0.86753,holding,770,347,921,459,84.046,53.546,0
53,0.88422,holding,770,347,892,490,84.046,40.622,0
54,0.9009,holding,770,347,857,513,84.046,27.705,0
55,0.91758,holding,770,347,818,529,84.046,14.789,0
56,0.93427,holding,769,347,775,535,84.009,1.864,0
57,0.95095,holding,771,347,735,532,84.082,-11.052,0
58,0.96763,holding,769,348,693,520,83.66,-23.969,0
59,0.98432,holding,771,347,658,497,84.082,-36.894,0
60,1.001,holding,771,345,627,466,84.774,-49.810,0
61,1.01768,holding,769,345,602,431,84.71,-62.727,0
62,1.03437,holding,769,347,587,394,84.009,-75.651,0
63,1.05105,holding,769,347,609,351,84.009,-88.568,0
64,1.06773,holding,771,345,608,352,84.774,-87.541,0
65,1.08442,holding,769,345,608,352,84.71,-87.51,0
66,1.1011,holding,769,347,609,353,84.009,-87.852,0
67,1.11778,holding,769,347,609,352,84.009,-88.21,0
68,1.13447,holding,769,348,609,353,83.66,-88.21,0
69,1.15115,holding,769,347,609,352,84.009,-88.21,0
70,1.16783,holding,769,345,609,352,84.71,-87.495,0
71,1.18452,holding,768,347,609,353,83.972,-87.839,0
72,1.2012,holding,769,348,608,351,83.66,-88.933,0
73,1.21788,holding,768,347,608,352,83.972,-88.21,0
74,1.23457,holding,769,347,608,352,84.009,-88.221,0
75,1.25125,holding,768,347,609,351,83.972,-88.559,0
76,1.26793,holding,771,347,609,352,84.082,-88.232,0
77,1.28462,holding,769,347,608,355,84.009,-87.155,0
78,1.3013,holding,771,347,609,353,84.082,-87.879,0
79,1.31798,holding,771,347,608,353,84.082,-87.892,0
80,1.33467,holding,769,347,608,352,84.009,-88.221,0
81,1.35135,holding,768,348,611,356,83.621,-87.083,0
82,1.36803,holding,771,351,609,359,82.703,-87.173,0
83,1.38472,holding,771,352,608,360,82.36,-87.19,0
84,1.4014,free_swing,768,356,608,365,80.826,-86.781,0
85,1.41808,free_swing,769,364,608,372,78.147,-87.155,0
86,1.43477,free_swing,769,371,607,379,75.797,-87.173,0
87,1.45145,free_swing,768,381,607,387,72.423,-87.866,0
88,1.46813,free_swing,765,393,604,399,68.261,-87.866,0
89,1.48482,free_swing,763,405,600,412,64.323,-87.541,0
90,1.5015,free_swing,759,415,595,424,60.786,-86.859,0
91,1.51818,free_swing,753,431,588,441,55.325,-86.532,0
92,1.53487,free_swing,743,445,580,459,49.783,-85.091,0
93,1.55155,free_swing,733,457,572,480,44.774,-81.87,0
94,1.56823,free_swing,724,469,563,504,40.088,-77.735,0
95,1.58492,free_swing,709,483,553,529,33.69,-73.571,0
96,1.6016,free_swing,695,493,543,557,28.364,-67.166,0
97,1.61828,free_swing,,,533,589,,,1
98,1.63497,free_swing,,,529,621,,,1
99,1.65165,free_swing,628,515,532,652,6.476,-35.02,0
100,1.66833,free_swing,596,517,541,697,-3.366,-16.985,0
101,1.68502,free_swing,561,510,564,672,-14.335,1.061,0
102,1.7017,free_swing,535,500,581,653,-22.954,16.734,0
103,1.71838,free_swing,513,486,592,626,-31.072,29.435,0
104,1.73507,free_swing,497,472,599,595,-37.763,39.668,0
105,1.75175,free_swing,485,459,606,570,-43.403,47.468,0
106,1.76843,free_swing,475,447,608,540,-48.447,55.037,0
107,1.78512,free_swing,468,435,610,512,-52.933,61.531,0
108,1.8018,free_swing,462,424,611,487,-57.046,67.08,0
109,1.81848,free_swing,458,414,611,461,-60.588,72.924,0
110,1.83517,free_swing,454,404,611,439,-64.189,77.433,0
111,1.85185,free_swing,452,397,611,418,-66.623,82.476,0
112,1.86853,free_swing,451,390,611,399,-68.962,86.781,0
113,1.88522,free_swing,450,385,611,380,-70.694,91.779,0
114,1.9019,free_swing,450,382,609,363,-71.675,96.814,0
115,1.91858,free_swing,449,381,607,347,-72.111,102.144,0
116,1.93527,free_swing,449,381,604,335,-72.111,106.53,0
117,1.95195,free_swing,450,383,600,323,-71.346,111.801,0
118,1.96863,free_swing,450,387,594,313,-70.046,117.198,0
119,1.98532,free_swing,452,392,588,304,-68.199,122.905,0
120,2.002,free_swing,453,398,580,298,-66.176,128.217,0
121,2.01868,free_swing,456,406,572,293,-63.283,134.249,0
122,2.03537,free_swing,459,415,563,291,-60.13,140.013,0
123,2.05205,free_swing,463,425,554,290,-56.586,146.017,0
124,2.06873,free_swing,469,435,543,291,-52.734,152.802,0
125,2.08542,free_swing,477,447,533,294,-48.013,159.897,0
126,2.1021,free_swing,485,459,521,300,-43.403,167.242,0
127,2.11878,free_swing,496,471,508,308,-38.211,175.79,0
128,2.13547,free_swing,509,481,496,319,-32.984,-175.412,0
129,2.15215,free_swing,523,492,482,332,-27.408,-165.627,0
130,2.16883,free_swing,538,501,468,353,-21.975,-154.687,0
131,2.18552,free_swing,553,507,455,377,-16.966,-142.989,0
132,2.2022,free_swing,568,512,444,406,-12.095,-130.525,0
133,2.21888,free_swing,582,515,436,442,-7.696,-116.565,0
134,2.23557,free_swing,593,516,433,482,-4.304,-101.997,0
135,2.25225,free_swing,601,517,438,525,-1.838,-87.19,0
136,2.26893,free_swing,605,517,450,573,-0.613,-70.136,0
137,2.28562,free_swing,604,517,475,620,-0.919,-51.394,0
138,2.3023,free_swing,597,516,513,658,-3.077,-30.606,0
139,2.31898,free_swing,584,515,557,677,-7.087,-9.462,0
140,2.33567,free_swing,571,512,612,673,-11.189,14.287,0
141,2.35235,free_swing,565,511,655,645,-13.064,33.887,0
142,2.36903,free_swing,563,510,690,617,-13.736,49.885,0
143,2.38572,free_swing,567,512,719,578,-12.395,66.529,0
