frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,770,346,936,415,84.394,67.429,0,0.00,30.91,0,179.77,10.60,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,770,346,936,415,84.394,67.429,0,0.00,22.59,0,179.77,10.60,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,770,346,938,413,84.394,68.257,0,0.00,14.93,0,180.87,11.28,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,770,346,938,413,84.394,68.257,0,-0.00,7.93,0,180.87,11.28,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,770,346,938,413,84.394,68.257,0,-0.00,1.59,0,180.87,11.28,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,770,346,938,413,84.394,68.257,0,0.00,-4.10,0,180.87,11.28,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,770,346,938,413,84.394,68.257,0,1.35,-13.82,0,180.87,11.28,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,770,346,938,413,84.394,68.257,0,-1.32,-13.14,0,180.87,11.28,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,770,346,936,415,84.394,67.429,0,-1.17,-15.50,0,179.77,10.60,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,770,346,936,415,84.394,67.429,0,-2.23,-12.92,0,179.77,10.60,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,770,346,936,416,84.394,67.135,0,-3.46,-7.83,0,180.16,10.84,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,769,347,935,416,84.009,67.429,0,-4.17,-2.88,0,179.77,10.60,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,770,346,935,416,84.394,67.011,0,-4.04,-0.09,0,179.23,10.28,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,770,347,935,416,84.046,67.306,0,-3.11,-2.76,0,178.85,10.04,100,0,0,0,,0,0,0,0,0
14,0.23357,holding,770,347,936,417,84.046,67.135,0,-1.78,-1.55,0,180.16,10.84,100,0,0,0,,0,0,0,0,0
15,0.25025,holding,770,347,935,417,84.046,67.011,0,-0.81,-3.13,0,179.23,10.28,100,0,0,0,,0,0,0,0,0
16,0.26693,holding,770,347,935,417,84.046,67.011,0,-1.32,-2.89,0,179.23,10.28,100,0,0,0,,0,0,0,0,0
17,0.28362,holding,770,347,935,417,84.046,67.011,0,1.22,-5.29,0,179.23,10.28,100,0,0,0,,0,0,0,0,0
18,0.3003,holding,770,347,935,417,84.046,67.011,0,0.00,-3.92,0,179.23,10.28,100,0,0,0,,0,0,0,0,0
19,0.31698,holding,770,347,935,418,84.046,66.718,0,0.00,-4.09,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
20,0.33367,holding,770,347,935,418,84.046,66.718,0,0.00,-3.51,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
21,0.35035,holding,770,347,935,418,84.046,66.718,0,0.00,-1.79,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
22,0.36703,holding,770,347,935,418,84.046,66.718,0,0.00,0.46,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
23,0.38372,holding,770,347,935,418,84.046,66.718,0,0.00,1.03,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
24,0.4004,holding,770,347,935,418,84.046,66.718,0,0.00,-0.78,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
25,0.41708,holding,770,347,935,418,84.046,66.718,0,0.00,-1.52,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
26,0.43377,holding,770,347,935,418,84.046,66.718,0,0.00,-1.96,0,179.63,10.52,100,0,0,0,,0,0,0,0,0
27,0.45045,holding,770,347,934,418,84.046,66.591,0,0.00,-1.96,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
28,0.46713,holding,770,347,934,418,84.046,66.591,0,0.00,-1.52,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
29,0.48382,holding,770,347,934,418,84.046,66.591,0,0.00,-0.78,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
30,0.5005,holding,770,347,934,418,84.046,66.591,0,0.00,0.01,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
31,0.51718,holding,770,347,934,418,84.046,66.591,0,0.00,-0.59,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
32,0.53387,holding,770,347,934,418,84.046,66.591,0,0.13,-0.02,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
33,0.55055,holding,770,347,934,418,84.046,66.591,0,-0.13,1.81,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
34,0.56723,holding,770,347,934,418,84.046,66.591,0,-0.23,3.54,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
35,0.58392,holding,770,347,934,418,84.046,66.591,0,-0.22,4.55,0,178.71,9.95,100,0,0,0,,0,0,0,0,0
36,0.6006,holding,770,347,934,417,84.046,66.886,0,-0.13,4.55,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
37,0.61728,holding,769,347,933,417,84.009,66.886,0,0.00,3.54,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
38,0.63397,holding,770,347,934,417,84.046,66.886,0,0.13,1.81,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
39,0.65065,holding,770,347,934,417,84.046,66.886,0,0.22,-0.02,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
40,0.66733,holding,770,347,934,417,84.046,66.886,0,0.23,-0.59,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
41,0.68402,holding,770,347,934,417,84.046,66.886,0,0.13,1.04,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
42,0.7007,holding,770,347,934,417,84.046,66.886,0,-0.13,-0.76,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
43,0.71738,holding,770,347,934,417,84.046,66.886,0,0.00,-3.34,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
44,0.73407,holding,770,347,934,417,84.046,66.886,0,0.00,-5.51,0,178.31,9.71,100,0,0,0,,0,0,0,0,0
45,0.75075,holding,770,347,933,417,84.046,66.759,0,0.00,-6.53,0,177.40,9.14,100,0,0,0,,0,0,0,0,0
46,0.76743,holding,770,347,933,418,84.046,66.463,0,0.00,-6.09,0,177.79,9.39,100,0,0,0,,0,0,0,0,0
47,0.78412,holding,770,347,933,418,84.046,66.463,0,0.00,40.80,0,177.79,9.39,100,0,0,0,,0,0,0,0,0
48,0.8008,holding,770,347,933,418,84.046,66.463,0,0.00,44.25,0,177.79,9.39,100,0,0,0,,0,0,0,0,0
49,0.81748,holding,770,347,933,418,84.046,66.463,0,0.00,-32.63,0,177.79,9.39,100,0,0,0,,0,0,0,0,0
50,0.83417,holding,770,347,933,418,84.046,66.463,0,0.00,-186.90,1,177.79,9.39,100,0,0,0,,0,0,0,0,1
51,0.85085,holding,770,347,933,418,84.046,66.463,0,0.13,-387.26,1,177.79,9.39,100,1,0,0,,0,0,0,0,1
52,0.86753,holding,770,347,921,459,84.046,53.546,0,-0.25,-586.62,1,188.00,15.67,100,0,0,1,,0,0,0,0,1
53,0.88422,holding,770,347,892,490,84.046,40.622,0,1.24,-741.45,1,187.97,15.65,100,0,0,0,,0,0,0,0,1
54,0.9009,holding,770,347,857,513,84.046,27.705,0,-1.44,-820.56,1,187.42,15.31,100,0,0,0,,0,0,0,0,1
55,0.91758,holding,770,347,818,529,84.046,14.789,0,-4.73,-819.67,1,188.22,15.81,100,0,0,0,,0,0,0,0,1
56,0.93427,holding,769,347,775,535,84.009,1.864,0,-1.74,-774.55,1,188.10,15.73,100,0,0,0,,0,0,0,0,1
57,0.95095,holding,771,347,735,532,84.082,-11.052,0,5.92,-774.52,1,188.47,15.96,100,0,0,0,,0,0,0,0,1
58,0.96763,holding,769,348,693,520,83.66,-23.969,0,8.60,-774.55,1,188.04,15.69,100,0,0,0,,0,0,0,0,1
59,0.98432,holding,771,347,658,497,84.082,-36.894,0,4.85,-823.26,1,187.80,15.55,100,0,0,0,,0,0,0,0,1
60,1.001,holding,771,345,627,466,84.774,-49.810,0,4.06,-820.75,1,188.09,15.72,100,0,0,0,,0,0,0,0,1
61,1.01768,holding,769,345,602,431,84.71,-62.727,0,5.99,-733.97,1,187.84,15.57,100,0,0,0,,0,0,0,0,1
62,1.03437,holding,769,347,587,394,84.009,-75.651,0,2.92,-572.85,1,187.97,15.65,100,0,0,0,,0,0,0,0,1
63,1.05105,holding,769,347,609,351,84.009,-88.568,0,-2.35,-373.11,1,160.05,1.53,100,0,0,0,,0,0,0,0,1
64,1.06773,holding,771,345,608,352,84.774,-87.541,0,-5.49,-177.90,1,163.15,0.38,100,0,0,1,,0,0,0,0,1
65,1.08442,holding,769,345,608,352,84.71,-87.51,0,-6.98,-32.37,0,161.15,0.85,100,0,0,0,,0,0,0,0,0
66,1.1011,holding,769,347,609,353,84.009,-87.852,0,-3.96,43.07,0,160.11,1.49,100,0,0,0,,0,0,0,0,0
67,1.11778,holding,769,347,609,352,84.009,-88.21,0,-4.61,43.85,0,160.08,1.51,100,0,0,0,,0,0,0,0,0
