frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,719,470,791,463,43.986,95.553,0
1,0.01668,719,470,793,463,43.986,95.404,0
2,0.03337,719,470,793,463,43.986,95.404,0
3,0.05005,719,470,802,462,43.986,95.505,0
4,0.06673,719,470,799,462,43.986,95.711,0
5,0.08342,719,470,763,462,43.986,100.305,0
6,0.1001,720,470,793,462,44.243,96.254,0
7,0.11678,720,470,761,462,44.243,101.041,0
8,0.13347,720,470,773,463,44.243,97.524,0
9,0.15015,720,470,772,464,44.243,96.582,0
10,0.16683,720,470,794,462,44.243,96.17,0
11,0.18352,,,791,464,,,1
12,0.2002,720,470,778,463,44.243,96.882,0
13,0.21688,720,470,767,463,44.243,98.471,0
14,0.23357,720,469,782,463,44.493,95.528,0
15,0.25025,720,470,792,463,44.243,95.553,0
16,0.26693,720,470,786,463,44.243,96.054,0
17,0.28362,720,469,759,463,44.493,98.746,0
18,0.3003,720,470,760,463,44.243,99.926,0
19,0.31698,720,470,760,463,44.243,99.926,0
20,0.33367,720,470,760,463,44.243,99.926,0
21,0.35035,720,470,781,463,44.243,96.546,0
22,0.36703,720,470,760,463,44.243,99.926,0
23,0.38372,720,470,760,463,44.243,99.926,0
24,0.4004,720,470,767,462,44.243,99.66,0
25,0.41708,720,470,785,462,44.243,97.017,0
26,0.43377,720,470,792,463,44.243,95.553,0
27,0.45045,720,470,761,463,44.243,99.689,0
28,0.46713,720,470,787,463,44.243,95.964,0
29,0.48382,720,470,766,462,44.243,99.866,0
30,0.5005,720,470,759,463,44.243,100.176,0
31,0.51718,,,766,462,,,1
32,0.53387,,,759,463,,,1
33,0.55055,,,760,463,,,1
34,0.56723,,,767,463,,,1
35,0.58392,,,788,463,,,1
36,0.6006,,,770,463,,,1
37,0.61728,,,766,463,,,1
38,0.63397,,,761,462,,,1
39,0.65065,,,779,463,,,1
40,0.66733,,,759,462,,,1
41,0.68402,,,760,462,,,1
42,0.7007,,,767,462,,,1
43,0.71738,720,470,790,463,44.243,95.711,0
44,0.73407,720,470,760,463,44.243,99.926,0
45,0.75075,,,761,462,,,1
46,0.76743,,,780,463,,,1
47,0.78412,720,470,759,462,44.243,101.592,0
48,0.8008,,,766,462,,,1
49,0.81748,,,767,462,,,1
50,0.83417,,,786,462,,,1
51,0.85085,720,470,793,462,44.243,96.254,0
52,0.86753,,,781,462,,,1
53,0.88422,,,765,462,,,1
54,0.9009,,,766,462,,,1
55,0.91758,,,784,463,,,1
56,0.93427,,,789,462,,,1
57,0.95095,,,765,462,,,1
58,0.96763,,,789,462,,,1
59,0.98432,720,470,769,462,44.243,99.273,0
60,1.001,720,470,760,462,44.243,101.31,0
61,1.01768,720,470,768,461,44.243,100.62,0
62,1.03437,720,470,760,462,44.243,101.31,0
63,1.05105,720,470,769,462,44.243,99.273,0
64,1.06773,720,470,759,462,44.243,101.592,0
65,1.08442,720,470,767,462,44.243,99.66,0
66,1.1011,720,470,762,462,44.243,100.784,0
67,1.11778,720,470,769,462,44.243,99.273,0
68,1.13447,720,470,764,462,44.243,100.305,0
69,1.15115,720,470,760,462,44.243,101.31,0
70,1.16783,720,470,768,462,44.243,99.462,0
71,1.18452,720,470,767,462,44.243,99.66,0
72,1.2012,720,470,783,462,44.243,97.237,0
73,1.21788,720,470,765,462,44.243,100.081,0
74,1.23457,720,470,767,462,44.243,99.66,0
75,1.25125,720,470,766,462,44.243,99.866,0
76,1.26793,720,470,767,461,44.243,100.84,0
77,1.28462,720,470,760,462,44.243,101.31,0
78,1.3013,720,470,771,462,44.243,98.915,0
79,1.31798,720,470,767,462,44.243,99.66,0
80,1.33467,720,470,762,462,44.243,100.784,0
81,1.35135,720,470,787,462,44.243,96.809,0
82,1.36803,720,470,787,462,44.243,96.809,0
83,1.38472,720,470,763,462,44.243,100.539,0
84,1.4014,720,470,770,462,44.243,99.09,0
85,1.41808,720,470,768,461,44.243,100.62,0
86,1.43477,720,470,765,462,44.243,100.081,0
87,1.45145,720,470,766,462,44.243,99.866,0
88,1.46813,720,470,761,462,44.243,101.041,0
89,1.48482,720,470,765,462,44.243,100.081,0
90,1.5015,,,759,463,,,1
91,1.51818,720,470,760,463,44.243,99.926,0
92,1.53487,720,470,759,462,44.243,101.592,0
93,1.55155,720,470,769,461,44.243,100.408,0
94,1.56823,720,470,789,464,44.243,94.97,0
95,1.58492,720,470,764,462,44.243,100.305,0
96,1.6016,,,794,463,,,1
