frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,668,504,757,641,21.934,33.009,0
1,0.01668,678,500,754,645,25.769,27.661,0
2,0.03337,688,493,751,644,30.101,22.647,0
3,0.05005,697,488,746,645,33.789,17.333,0
4,0.06673,703,484,740,642,36.369,13.18,0
5,0.08342,709,479,736,640,39.163,9.52,0
6,0.1001,713,475,730,639,41.186,5.918,0
7,0.11678,716,473,725,637,42.466,3.141,0
8,0.13347,718,472,720,636,43.234,0.699,0
9,0.15015,718,472,716,636,43.234,-0.699,0
10,0.16683,717,472,712,637,42.973,-1.736,0
11,0.18352,716,474,710,638,42.226,-2.095,0
12,0.2002,712,477,706,641,40.446,-2.095,0
13,0.21688,708,481,704,645,38.437,-1.397,0
14,0.23357,702,485,702,649,35.87,0.0,0
15,0.25025,695,489,700,653,32.994,1.746,0
16,0.26693,687,495,698,659,29.435,3.837,0
17,0.28362,676,501,698,662,24.974,7.781,0
18,0.3003,665,506,698,665,20.681,11.725,0
19,0.31698,652,510,696,666,15.848,15.751,0
20,0.33367,638,512,694,665,10.818,20.103,0
21,0.35035,624,514,690,663,5.746,23.891,0
22,0.36703,610,515,684,660,0.716,27.037,0
23,0.38372,597,516,677,657,-3.909,29.57,0
24,0.4004,585,514,669,654,-8.231,30.964,0
25,0.41708,575,513,658,651,-11.797,31.025,0
26,0.43377,565,510,647,649,-15.505,30.538,0
27,0.45045,556,508,635,649,-18.771,29.261,0
28,0.46713,549,505,622,649,-21.471,26.882,0
29,0.48382,543,503,608,651,-23.711,23.711,0
30,0.5005,538,500,593,653,-25.769,19.772,0
31,0.51718,535,499,577,655,-26.882,15.068,0
32,0.53387,532,498,560,657,-27.989,9.987,0
33,0.55055,531,496,542,659,-28.639,3.861,0
34,0.56723,532,498,522,660,-27.989,-3.532,0
35,0.58392,534,498,504,659,-27.361,-10.555,0
36,0.6006,538,501,485,655,-25.615,-18.991,0
37,0.61728,543,504,469,646,-23.569,-27.525,0
38,0.63397,549,505,454,636,-21.471,-35.949,0
39,0.65065,553,507,443,624,-19.892,-43.234,0
40,0.66733,559,508,435,610,-17.758,-50.56,0
41,0.68402,562,510,430,597,-16.53,-56.611,0
42,0.7007,566,511,425,585,-15.068,-62.308,0
43,0.71738,569,512,423,574,-13.95,-66.991,0
44,0.73407,572,513,421,564,-12.836,-71.338,0
45,0.75075,574,513,421,556,-12.144,-74.302,0
46,0.76743,578,514,422,550,-10.685,-77.005,0
47,0.78412,580,514,423,545,-9.987,-78.83,0
48,0.8008,583,515,425,542,-8.881,-80.303,0
49,0.81748,586,514,428,542,-7.878,-79.951,0
50,0.83417,589,515,430,543,-6.772,-80.013,0
51,0.85085,592,515,433,547,-5.711,-78.621,0
52,0.86753,593,515,437,552,-5.356,-76.657,0
53,0.88422,595,516,441,559,-4.616,-74.399,0
54,0.9009,597,516,446,568,-3.909,-70.998,0
55,0.91758,599,516,450,579,-3.2,-67.08,0
56,0.93427,600,515,457,591,-2.862,-62.011,0
57,0.95095,601,516,467,605,-2.49,-56.409,0
58,0.96763,600,516,476,620,-2.845,-50.013,0
59,0.98432,598,516,488,635,-3.554,-42.749,0
60,1.001,595,515,504,649,-4.645,-34.181,0
61,1.01768,591,515,523,662,-6.065,-24.825,0
62,1.03437,585,515,543,672,-8.18,-14.977,0
63,1.05105,579,514,566,676,-10.337,-4.588,0
64,1.06773,574,513,589,676,-12.144,5.258,0
65,1.08442,571,512,612,669,-13.261,14.636,0
66,1.1011,569,510,633,661,-14.123,22.969,0
67,1.11778,568,511,651,650,-14.381,30.842,0
68,1.13447,570,510,669,641,-13.775,37.079,0
69,1.15115,572,512,683,631,-12.915,43.008,0
70,1.16783,575,511,697,622,-11.944,47.703,0
71,1.18452,580,513,708,615,-10.049,51.45,0
72,1.2012,586,514,720,609,-7.878,54.665,0
73,1.21788,592,516,730,604,-5.675,57.475,0
74,1.23457,599,516,739,600,-3.2,59.036,0
75,1.25125,606,517,747,598,-0.707,60.124,0
76,1.26793,614,516,755,598,2.134,59.819,0
77,1.28462,621,513,762,601,4.704,58.031,0
78,1.3013,631,514,767,604,8.231,56.505,0
79,1.31798,639,512,772,609,11.17,53.896,0
80,1.33467,648,511,775,615,14.381,50.686,0
81,1.35135,658,507,776,622,18.208,45.738,0
82,1.36803,668,505,775,628,21.801,41.021,0
83,1.38472,677,501,770,633,25.296,35.166,0
84,1.4014,687,496,764,637,29.261,28.639,0
85,1.41808,694,492,757,641,32.118,22.92,0
86,1.43477,700,487,748,642,34.875,17.207,0
87,1.45145,705,484,739,642,36.941,12.144,0
88,1.46813,708,480,730,642,38.66,7.734,0
89,1.48482,710,479,721,642,39.44,3.861,0
90,1.5015,712,477,712,641,40.446,0.0,0
91,1.51818,712,477,704,641,40.446,-2.793,0
92,1.53487,710,479,696,642,39.44,-4.909,0
93,1.55155,707,481,689,644,38.157,-6.302,0
94,1.56823,704,484,682,646,36.656,-7.734,0
95,1.58492,699,488,676,650,34.38,-8.081,0
96,1.6016,693,491,670,654,32.005,-8.032,0
97,1.61828,685,496,664,660,28.639,-7.297,0
98,1.63497,675,501,661,664,24.651,-4.909,0
99,1.65165,664,505,657,669,20.472,-2.444,0
100,1.66833,652,509,654,674,15.945,0.694,0
101,1.68502,639,513,652,676,11.101,4.56,0
102,1.7017,623,517,648,677,5.29,8.881,0
103,1.71838,608,516,645,674,0.0,13.18,0
104,1.73507,594,515,640,671,-5.001,16.429,0
105,1.75175,581,513,634,667,-9.697,18.991,0
106,1.76843,568,511,626,663,-14.381,20.886,0
