frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,769,355,607,355,90.000000,-90.0,0
1,0.01668,holding,,,,,,,1
2,0.03337,holding,,,,,,,1
3,0.05005,holding,,,,,,,1
4,0.06673,holding,,,,,,,1
5,0.08342,holding,,,,,,,1
6,0.1001,holding,,,,,,,1
7,0.11678,holding,,,,,,,1
8,0.13347,holding,,,,,,,1
9,0.15015,holding,,,,,,,1
10,0.16683,holding,,,,,,,1
11,0.18352,holding,,,,,,,1
12,0.2002,holding,,,,,,,1
13,0.21688,holding,,,,,,,1
14,0.23357,holding,,,,,,,1
15,0.25025,holding,,,,,,,1
16,0.26693,holding,,,,,,,1
17,0.28362,holding,,,,,,,1
18,0.3003,holding,,,,,,,1
19,0.31698,holding,,,,,,,1
20,0.33367,holding,,,,,,,1
21,0.35035,holding,,,,,,,1
22,0.36703,holding,,,,,,,1
23,0.38372,holding,,,,,,,1
24,0.4004,holding,,,,,,,1
25,0.41708,holding,,,,,,,1
26,0.43377,holding,,,,,,,1
27,0.45045,holding,,,,,,,1
28,0.46713,holding,,,,,,,1
29,0.48382,holding,,,,,,,1
30,0.5005,holding,,,,,,,1
31,0.51718,holding,,,,,,,1
32,0.53387,holding,,,,,,,1
33,0.55055,holding,,,,,,,1
34,0.56723,holding,,,,,,,1
35,0.58392,holding,,,,,,,1
36,0.6006,holding,,,,,,,1
37,0.61728,holding,,,,,,,1
38,0.63397,holding,,,,,,,1
39,0.65065,holding,,,,,,,1
40,0.66733,holding,,,,,,,1
41,0.68402,holding,,,,,,,1
42,0.7007,holding,,,,,,,1
43,0.71738,holding,,,,,,,1
44,0.73407,holding,,,,,,,1
45,0.75075,holding,,,,,,,1
46,0.76743,holding,,,,,,,1
47,0.78412,holding,,,,,,,1
48,0.8008,holding,,,,,,,1
49,0.81748,holding,,,,,,,1
50,0.83417,holding,,,,,,,1
51,0.85085,holding,,,,,,,1
52,0.86753,holding,,,,,,,1
53,0.88422,holding,,,,,,,1
54,0.9009,holding,,,,,,,1
55,0.91758,holding,,,,,,,1
56,0.93427,holding,,,,,,,1
57,0.95095,holding,,,,,,,1
58,0.96763,holding,,,,,,,1
59,0.98432,holding,,,,,,,1
60,1.001,holding,,,,,,,1
61,1.01768,holding,,,,,,,1
62,1.03437,holding,,,,,,,1
63,1.05105,holding,,,,,,,1
64,1.06773,holding,,,,,,,1
65,1.08442,holding,,,,,,,1
66,1.1011,holding,,,,,,,1
67,1.11778,holding,,,,,,,1
68,1.13447,holding,,,,,,,1
69,1.15115,holding,,,,,,,1
70,1.16783,holding,,,,,,,1
71,1.18452,holding,,,,,,,1
72,1.2012,holding,,,,,,,1
73,1.21788,holding,,,,,,,1
74,1.23457,holding,,,,,,,1
75,1.25125,holding,,,,,,,1
76,1.26793,holding,,,,,,,1
77,1.28462,holding,,,,,,,1
78,1.3013,holding,,,,,,,1
79,1.31798,holding,,,,,,,1
80,1.33467,holding,,,,,,,1
81,1.35135,holding,,,,,,,1
82,1.36803,holding,,,,,,,1
83,1.38472,holding,,,,,,,1
84,1.4014,holding,,,,,,,1
85,1.41808,free_swing,,,,,,,1
86,1.43477,free_swing,,,,,,,1
87,1.45145,free_swing,,,,,,,1
88,1.46813,free_swing,,,,,,,1
89,1.48482,free_swing,762,406,600,428,71.676739,-82.266,0
90,1.5015,free_swing,757,419,596,445,66.755016,-80.826,0
91,1.51818,free_swing,750,432,591,464,61.531081,-78.621,0
92,1.53487,free_swing,742,445,584,485,56.113041,-75.793,0
93,1.55155,free_swing,732,458,577,509,50.285447,-71.787,0
94,1.56823,free_swing,721,471,570,536,44.249443,-66.71,0
95,1.58492,free_swing,708,483,562,564,37.998732,-60.979,0
96,1.6016,free_swing,691,494,557,595,30.842367,-52.994,0
97,1.61828,free_swing,671,504,556,627,22.919555,-43.075,0
98,1.63497,free_swing,640,523,559,663,10.784298,-30.052,0
99,1.65165,free_swing,615,519,573,679,2.444068,-14.708,0
100,1.66833,free_swing,580,515,593,680,-9.926246,4.505,0
101,1.68502,free_swing,552,508,608,659,-20.103286,20.348,0
102,1.7017,free_swing,528,496,618,634,-29.569531,33.111,0
103,1.71838,free_swing,509,485,619,600,-37.290667,43.727,0
104,1.73507,free_swing,495,470,622,574,-44.497418,50.686,0
105,1.75175,free_swing,484,458,621,545,-50.285447,57.583,0
106,1.76843,free_swing,475,445,619,518,-55.914113,63.118,0
107,1.78512,free_swing,467,433,617,494,-61.049005,67.87,0
108,1.8018,free_swing,461,421,615,471,-65.820893,72.013,0
109,1.81848,free_swing,457,410,613,451,-69.986433,75.275,0
110,1.83517,free_swing,454,400,612,431,-73.711226,78.899,0
111,1.85185,free_swing,452,390,611,417,-77.354580,80.362,0
112,1.86853,free_swing,450,383,614,403,-79.950651,83.047,0
113,1.88522,free_swing,449,376,637,388,-82.476180,86.191,0
114,1.9019,free_swing,448,372,636,374,-83.935078,89.332,0
115,1.91858,free_swing,448,369,610,362,-84.999355,92.474,0
116,1.93527,free_swing,448,367,611,363,-85.710847,91.406,0
117,1.95195,free_swing,448,367,608,343,-85.710847,98.531,0
118,1.96863,free_swing,448,369,606,337,-84.999355,101.449,0
119,1.98532,free_swing,449,373,605,330,-83.541184,105.41,0
120,2.002,free_swing,449,378,602,326,-81.769025,108.771,0
121,2.01868,free_swing,450,385,600,324,-79.249033,112.13,0
122,2.03537,free_swing,452,393,598,323,-76.309950,115.615,0
123,2.05205,free_swing,455,403,596,323,-72.582029,119.57,0
124,2.06873,free_swing,459,415,593,324,-68.066115,124.181,0
125,2.08542,free_swing,464,427,591,325,-63.434949,128.77,0
126,2.1021,free_swing,472,441,589,328,-57.692666,134.004,0
127,2.11878,free_swing,482,456,588,334,-51.284780,139.014,0
128,2.13547,free_swing,495,470,588,337,-44.497418,145.037,0
129,2.15215,free_swing,510,484,588,340,-37.223571,151.557,0
130,2.16883,free_swing,528,496,589,344,-29.569531,158.134,0
131,2.18552,free_swing,548,506,590,348,-21.670448,165.114,0
132,2.2022,free_swing,572,513,592,350,-12.835609,173.005,0
133,2.21888,free_swing,596,517,594,352,-4.236395,-179.306,0
134,2.23557,free_swing,620,517,595,354,4.236395,-171.28,0
135,2.25225,free_swing,645,513,595,355,13.179868,-162.44,0
136,2.26893,free_swing,666,502,594,357,21.532101,-153.593,0
137,2.28562,free_swing,688,495,594,361,29.744881,-144.951,0
138,2.3023,free_swing,707,482,594,365,37.937397,-135.996,0
139,2.31898,free_swing,724,468,593,370,45.750557,-126.8,0
140,2.33567,free_swing,737,453,592,377,52.776429,-117.661,0
141,2.35235,free_swing,748,436,593,386,59.947552,-107.879,0
142,2.36903,free_swing,756,420,595,396,66.289438,-98.479,0
143,2.38572,free_swing,762,406,599,403,71.676739,-91.054,0
144,2.4024,free_swing,765,392,608,427,76.739141,-77.433,0
145,2.41908,free_swing,768,381,617,441,80.770114,-68.33,0
146,2.43577,free_swing,769,372,630,457,83.972470,-58.554,0
147,2.45245,free_swing,769,366,647,473,86.091456,-48.748,0
148,2.46913,free_swing,770,362,664,489,87.525796,-39.85,0
149,2.48582,free_swing,770,362,683,503,87.525796,-31.675,0
150,2.5025,free_swing,770,364,705,517,86.820170,-23.018,0
151,2.51918,free_swing,769,368,726,529,85.383648,-14.954,0
152,2.53587,free_swing,768,376,748,542,82.522670,-6.87,0
153,2.55255,free_swing,767,386,772,554,78.967527,1.705,0
154,2.56923,free_swing,764,399,795,564,74.248826,10.641,0
155,2.58592,free_swing,758,415,817,571,68.198591,20.717,0
156,2.6026,free_swing,749,435,840,574,60.430469,33.212,0
157,2.61928,free_swing,733,458,856,567,50.511477,48.453,0
158,2.63597,free_swing,717,477,859,551,41.778960,62.475,0
159,2.65265,free_swing,693,493,849,532,31.630661,75.964,0
160,2.66933,free_swing,671,505,835,516,22.782406,86.163,0
161,2.68602,free_swing,653,511,815,500,16.090816,93.884,0
162,2.7027,free_swing,632,515,818,491,8.530766,97.296,0
163,2.71938,free_swing,,,,,,,1
164,2.73607,free_swing,593,516,752,476,-5.322751,104.121,0
165,2.75275,free_swing,569,513,729,473,-13.865467,104.036,0
166,2.76943,free_swing,547,506,709,473,-21.997403,101.514,0
167,2.78612,free_swing,527,496,692,475,-29.875993,97.253,0
168,2.8028,free_swing,509,484,673,481,-37.504142,91.048,0
169,2.81948,free_swing,492,471,655,489,-45.000000,83.698,0
170,2.83617,free_swing,479,456,637,499,-51.940983,74.776,0
171,2.85285,free_swing,470,441,616,511,-58.069318,64.385,0
172,2.86953,free_swing,464,426,592,524,-63.754142,52.561,0
173,2.88622,free_swing,459,414,565,536,-68.397764,40.986,0
174,2.9029,free_swing,456,406,536,547,-71.452042,29.57,0
175,2.91958,free_swing,454,400,502,556,-73.711226,17.103,0
176,2.93627,free_swing,454,398,470,562,-74.399162,5.572,0
177,2.95295,free_swing,454,400,435,565,-73.711226,-6.569,0
178,2.96963,free_swing,456,407,401,561,-71.113913,-19.654,0
179,2.98632,free_swing,460,417,371,555,-67.270268,-32.819,0
180,3.003,free_swing,468,433,345,537,-60.875947,-49.785,0
