t_s,theta1_deg,omega1_deg_s
1.5188,-89.6672,542.1750
2.8390,-108.7548,-48.0188
3.6065,89.6825,1655.2362
3.8767,95.9734,-5.3337
4.8756,-89.7002,494.7135
5.4669,64.0409,2166.4286
6.0611,-61.4043,396.4728
7.3139,-112.2468,5.4852
8.0888,105.6356,182.4709
10.2370,-81.3556,451.1077
10.8823,87.9466,477.3862
11.6191,-89.7401,321.4058
13.6136,88.9574,382.4692
16.6648,-88.3217,260.0246
18.5673,77.7538,-508.7204
23.2492,90.2003,525.5099
23.4039,88.9769,161.9265
26.5453,88.9734,222.7875
27.6731,122.3135,2196.0925
29.6796,-89.6581,134.8458
