t_s,theta1_deg,omega1_deg_s
1.4148,26.7346,288.7549
1.8924,106.4418,-25.6999
2.9398,13.9636,38.2933
4.4003,-50.4693,553.2778
6.1060,60.9761,469.2177
6.6449,-54.2452,-214.1963
7.0179,-50.5722,410.0906
10.0116,-88.7511,95.3375
11.3666,-24.2708,94.8212
12.7433,66.1028,307.6615
13.6509,2.6493,629.8124
14.5888,-62.2694,360.2232
15.8896,81.1326,225.5098
18.0208,58.1834,199.6199
18.6712,-56.9524,265.6424
19.6088,-76.6381,136.6088
19.9982,64.5173,156.9556
20.9019,-16.2243,-139.7132
22.3536,0.3499,-138.8380
23.7973,9.8596,-92.5063
25.2605,30.0305,327.7968
26.1691,-55.0952,259.4212
27.0985,-70.0869,65.8819
28.5502,49.5417,327.5013
30.6585,45.2110,335.1491
