frame,time_s,gx_crop,gy_crop,rx_crop,ry_crop
0,0.000000,312,481,311,632
1,0.016683,312,481,311,632
2,0.033367,312,481,311,632
3,0.050050,312,481,311,632
4,0.066733,312,481,311,632
5,0.083417,312,481,311,632
6,0.100100,312,481,311,632
7,0.116783,312,481,311,632
8,0.133467,313,481,311,632
9,0.150150,312,481,311,632
10,0.166833,312,481,311,632
11,0.183517,312,481,311,632
12,0.200200,312,481,312,632
13,0.216883,312,481,311,632
14,0.233567,312,481,312,632
15,0.250250,312,481,311,632
16,0.266933,312,481,311,632
17,0.283617,312,481,312,632
18,0.300300,312,481,311,632
19,0.316983,312,481,311,632
20,0.333667,313,481,311,632
21,0.350350,312,481,311,632
22,0.367033,312,481,311,632
23,0.383717,313,481,311,632
24,0.400400,313,481,311,633
25,0.417083,313,481,312,633
26,0.433767,312,481,311,633
27,0.450450,313,481,311,633
28,0.467133,312,481,311,633
29,0.483817,313,481,311,633
30,0.500500,313,481,311,633
31,0.517183,313,481,311,632
32,0.533867,313,481,311,633
33,0.550550,312,481,311,633
34,0.567233,313,481,311,633
35,0.583917,313,481,311,633
36,0.600600,313,481,311,633
37,0.617283,313,481,311,633
38,0.633967,313,481,311,632
39,0.650650,313,481,311,633
40,0.667333,313,481,311,633
41,0.684017,312,481,311,633
42,0.700700,313,481,311,633
43,0.717383,312,481,311,633
44,0.734067,313,481,311,633
45,0.750750,313,481,311,633
46,0.767433,313,481,311,633
47,0.784117,312,481,311,633
48,0.800800,312,481,311,633
49,0.817483,312,481,311,633
50,0.834167,313,481,311,633
51,0.850850,313,481,311,633
52,0.867533,313,481,311,633
53,0.884217,313,481,311,633
54,0.900900,312,481,311,633
55,0.917583,313,481,311,633
56,0.934267,313,481,311,633
57,0.950950,313,481,311,633
58,0.967633,312,481,311,633
59,0.984317,313,481,311,633
60,1.001000,313,481,311,633
61,1.017683,313,481,311,633
62,1.034367,312,481,311,633
63,1.051050,313,481,311,633
64,1.067733,313,481,311,632
65,1.084417,313,481,311,633
66,1.101100,313,481,311,632
67,1.117783,313,481,311,633
68,1.134467,313,481,311,632
69,1.151150,313,481,312,633
70,1.167833,312,481,311,633
71,1.184517,313,481,311,633
72,1.201200,313,481,311,632
73,1.217883,313,481,311,633
74,1.234567,313,481,311,633
75,1.251250,313,481,311,633
76,1.267933,313,481,312,633
77,1.284617,312,481,311,633
78,1.301300,312,481,311,633
79,1.317983,313,481,311,633
80,1.334667,313,481,311,633
81,1.351350,313,481,311,633
82,1.368033,313,481,311,633
83,1.384717,312,481,312,633
84,1.401400,313,481,311,633
85,1.418083,313,481,311,633
86,1.434767,313,481,311,633
87,1.451450,313,481,311,633
88,1.468133,313,481,311,633
89,1.484817,313,481,311,633
90,1.501500,313,481,311,633
91,1.518183,312,481,311,633
92,1.534867,313,481,311,632
93,1.551550,312,481,311,633
94,1.568233,312,481,311,633
95,1.584917,313,481,311,633
96,1.601600,313,481,311,633
97,1.618283,313,481,311,633
98,1.634967,313,481,311,633
99,1.651650,313,481,311,633
100,1.668333,312,481,311,633
101,1.685017,312,481,311,632
102,1.701700,312,481,311,633
103,1.718383,313,481,311,633
104,1.735067,313,481,311,633
105,1.751750,312,481,311,633
106,1.768433,313,481,311,633
107,1.785117,313,481,311,633
108,1.801800,313,481,311,633
109,1.818483,312,481,311,633
110,1.835167,313,481,311,633
111,1.851850,313,481,311,633
112,1.868533,312,481,311,633
113,1.885217,313,481,311,633
114,1.901900,312,481,311,633
115,1.918583,313,481,311,633
116,1.935267,313,481,311,633
117,1.951950,313,481,311,633
118,1.968633,313,481,312,633
119,1.985317,313,481,311,633
120,2.002000,313,481,311,633
121,2.018683,313,481,311,632
122,2.035367,313,481,311,633
123,2.052050,313,481,310,633
124,2.068733,318,481,308,632
125,2.085417,326,481,306,630
126,2.102100,334,480,303,628
127,2.118783,343,478,301,623
128,2.135467,353,476,300,617
129,2.152150,364,472,301,609
130,2.168833,376,467,303,599
131,2.185517,386,462,308,590
132,2.202200,398,455,314,580
133,2.218883,408,447,322,571
134,2.235567,418,438,331,563
135,2.252250,427,429,343,556
136,2.268933,435,419,356,551
137,2.285617,443,407,372,544
138,2.302300,448,398,389,540
139,2.318983,452,391,406,538
140,2.335667,454,386,424,537
141,2.352350,455,385,441,538
142,2.369033,453,388,460,542
143,2.385717,450,394,480,546
144,2.402400,445,405,499,549
145,2.419083,435,420,518,547
146,2.435767,421,436,532,539
147,2.452450,404,450,536,524
148,2.469133,388,460,532,508
149,2.485817,371,468,521,493
150,2.502500,352,475,507,482
151,2.519183,333,479,488,473
152,2.535867,313,481,469,468
153,2.552550,293,479,449,469
154,2.569233,271,476,427,473
155,2.585917,253,469,407,481
156,2.602600,236,461,388,492
157,2.619283,225,453,369,507
158,2.635967,220,449,355,525
159,2.652650,221,450,342,546
160,2.669333,225,453,328,569
161,2.686017,232,458,309,590
162,2.702700,244,464,289,610
163,2.719383,259,471,263,623
164,2.736067,280,478,237,623
165,2.752750,299,481,216,605
166,2.769433,316,480,205,581
167,2.786117,335,480,202,553
168,2.802800,352,476,206,524
169,2.819483,366,471,215,496
170,2.836167,379,466,226,470
171,2.852850,389,461,236,448
172,2.869533,397,456,247,427
173,2.886217,402,453,256,408
174,2.902900,404,451,264,390
175,2.919583,403,452,273,373
176,2.936267,399,454,282,359
177,2.952950,391,459,293,344
178,2.969633,380,465,304,334
179,2.986317,365,471,320,326
180,3.003000,349,476,333,326
181,3.019683,332,480,350,327
182,3.036367,313,481,367,337
183,3.053050,294,480,382,354
