stem,x_param,theta1_deg,omega1_deg_s
3V_0.25Hz,0.2500,-92.1820,-329.4991
3V_0.25Hz,0.2500,-89.4576,-22.7658
3V_0.25Hz,0.2500,-84.7532,-14.3092
3V_0.25Hz,0.2500,-101.9839,129.6062
3V_0.25Hz,0.2500,-77.4812,-343.7977
3V_0.25Hz,0.2500,-42.7489,-615.9843
3V_0.25Hz,0.2500,-68.7600,-50.3197
3V_0.25Hz,0.2500,-101.0761,-204.5514
3V_0.25Hz,0.2500,-94.1697,-334.8349
3V_0.25Hz,0.2500,146.2358,-389.2307
3V_0.5Hz,0.5000,-168.3323,-98.0567
3V_0.5Hz,0.5000,38.1728,-342.0856
3V_0.5Hz,0.5000,49.0441,-567.2528
3V_0.5Hz,0.5000,144.6999,-277.9253
3V_0.5Hz,0.5000,0.9796,-493.0310
3V_0.5Hz,0.5000,131.8573,-351.1474
3V_0.5Hz,0.5000,47.3335,-106.2606
3V_0.5Hz,0.5000,108.9480,-330.7387
3V_0.5Hz,0.5000,125.5367,-376.9165
3V_0.5Hz,0.5000,15.1211,-635.1980
3V_0.5Hz,0.5000,5.6630,-268.9852
3V_0.5Hz,0.5000,-15.8991,-388.6223
3V_0.5Hz,0.5000,-4.4205,-464.6967
3V_0.5Hz,0.5000,14.9082,-480.6958
3V_0.5Hz,0.5000,-2.6812,-494.8316
3V_0.75Hz,0.7500,50.7463,-469.2476
3V_0.75Hz,0.7500,40.7681,-439.1667
3V_0.75Hz,0.7500,42.8398,-466.6367
3V_0.75Hz,0.7500,45.5835,-465.3959
3V_0.75Hz,0.7500,43.3529,-471.9778
3V_0.75Hz,0.7500,45.4903,-462.2919
3V_0.75Hz,0.7500,41.5299,-481.1447
3V_0.75Hz,0.7500,46.4327,-481.9049
3V_0.75Hz,0.7500,44.9279,-488.5731
3V_0.75Hz,0.7500,43.7074,-453.2085
3V_0.75Hz,0.7500,43.0197,-454.4521
3V_0.75Hz,0.7500,39.8219,-502.5496
3V_0.75Hz,0.7500,46.1643,-488.1566
3V_0.75Hz,0.7500,43.5324,-497.5157
3V_0.75Hz,0.7500,46.9133,-474.7154
3V_0.75Hz,0.7500,44.7448,-492.4875
3V_0.75Hz,0.7500,50.3036,-479.2572
3V_0.75Hz,0.7500,44.4740,-465.4331
3V_0.75Hz,0.7500,48.0599,-479.6326
3V_0.75Hz,0.7500,49.2035,-493.5086
3V_0.75Hz,0.7500,47.7615,-485.3672
3V_0.75Hz,0.7500,44.9841,-481.4677
3V_1Hz,1.0000,-10.9316,-416.1106
3V_1Hz,1.0000,-18.3817,-503.0938
3V_1Hz,1.0000,-23.4735,-390.5118
3V_1Hz,1.0000,-25.9422,-735.4797
3V_1Hz,1.0000,-28.4811,-363.2123
3V_1Hz,1.0000,5.5633,-212.7418
3V_1Hz,1.0000,4.0530,-576.4264
3V_1Hz,1.0000,-2.5693,6.0755
3V_1Hz,1.0000,-8.5731,-466.8871
3V_1Hz,1.0000,1.3682,-377.7793
3V_1Hz,1.0000,-31.5452,-359.1082
3V_1Hz,1.0000,-35.1134,-417.5539
3V_1Hz,1.0000,-34.5448,-415.1368
3V_1Hz,1.0000,-28.6595,-362.0300
3V_1Hz,1.0000,7.1833,-303.8424
3V_1Hz,1.0000,-43.3303,-301.9004
3V_1Hz,1.0000,-42.3835,-363.6921
3V_1Hz,1.0000,-21.2638,-402.5005
3V_1Hz,1.0000,-12.8109,-293.4442
3V_1Hz,1.0000,-14.2118,-368.7061
3V_1Hz,1.0000,-15.2875,-357.8375
3V_1Hz,1.0000,-14.4251,-408.5960
3V_1Hz,1.0000,-38.6833,-344.8846
3V_1Hz,1.0000,-21.7988,-373.2897
3V_1Hz,1.0000,2.3383,-290.2144
3V_1Hz,1.0000,-11.8789,-399.0314
3V_1Hz,1.0000,16.9327,-302.2451
3V_1Hz,1.0000,-6.7228,-346.1769
3V_1Hz,1.0000,-18.5692,221.7143
3V_1Hz,1.0000,-20.8954,-372.0656
3V_1Hz,1.0000,-16.3483,-407.4062
3V_1Hz,1.0000,-22.3028,-324.0050
3V_1Hz,1.0000,-32.2107,-310.5272
3V_1Hz,1.0000,-37.7779,-450.5044
3V_1Hz,1.0000,-41.6429,-446.5789
3V_1Hz,1.0000,-37.7351,-455.1561
3V_1Hz,1.0000,-38.9423,-445.9161
3V_1Hz,1.0000,-37.8295,-429.5397
3V_1Hz,1.0000,-38.2274,-447.5637
3V_1Hz,1.0000,-39.3351,-460.5922
3V_1.25Hz,1.2500,4.5755,425.5882
3V_1.25Hz,1.2500,-12.6925,447.3909
3V_1.25Hz,1.2500,-3.0597,305.8150
3V_1.25Hz,1.2500,12.3714,400.9268
3V_1.25Hz,1.2500,21.0661,465.6424
3V_1.25Hz,1.2500,2.2785,313.4364
3V_1.25Hz,1.2500,5.1960,363.2179
3V_1.25Hz,1.2500,11.9801,489.2556
3V_1.25Hz,1.2500,6.0647,318.1374
3V_1.25Hz,1.2500,11.6324,432.3774
3V_1.25Hz,1.2500,-19.2676,243.1891
3V_1.25Hz,1.2500,1.1676,313.7562
3V_1.25Hz,1.2500,3.1888,366.5361
3V_1.25Hz,1.2500,16.5800,430.8426
3V_1.25Hz,1.2500,23.6484,390.5195
3V_1.25Hz,1.2500,24.8347,421.7081
3V_1.25Hz,1.2500,26.6805,436.5127
3V_1.25Hz,1.2500,26.6782,434.7594
3V_1.25Hz,1.2500,16.3643,386.5998
3V_1.25Hz,1.2500,24.2541,388.4917
