frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,657,485,656,634,-2.246,-0.385,0,-0.00,12.78,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,657,485,657,634,-2.246,0.0,0,-0.00,8.34,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,657,485,657,634,-2.246,0.0,0,-0.00,4.71,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,657,485,657,634,-2.246,0.0,0,-0.00,1.88,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,657,485,657,634,-2.246,0.0,0,0.00,-0.13,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,657,485,657,634,-2.246,0.0,0,-0.00,-1.35,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,657,485,657,634,-2.246,0.0,0,-0.00,1.35,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,657,485,657,634,-2.246,0.0,0,-0.00,0.03,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,657,485,657,634,-2.246,0.0,0,-0.00,-2.36,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,657,485,657,634,-2.246,0.0,0,-0.00,-4.61,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,657,485,657,634,-2.246,0.0,0,-0.00,-5.94,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-4.60,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-4.59,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-4.71,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
14,0.23357,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-4.57,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
15,0.25025,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-4.58,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
16,0.26693,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-4.58,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
17,0.28362,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-4.57,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
18,0.3003,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-4.70,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
19,0.31698,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-4.57,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
20,0.33367,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-4.58,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
21,0.35035,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-5.93,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
22,0.36703,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-4.60,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
23,0.38372,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-2.35,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
24,0.4004,holding,657,485,654,634,-2.246,-1.153,0,-0.00,0.03,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
25,0.41708,holding,657,485,654,634,-2.246,-1.153,0,-0.00,1.34,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
26,0.43377,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-0.00,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
27,0.45045,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-0.00,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
28,0.46713,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-0.00,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
29,0.48382,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-0.00,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
30,0.5005,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-1.34,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
31,0.51718,holding,657,485,654,634,-2.246,-1.153,0,-0.00,-0.03,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
32,0.53387,holding,657,485,654,634,-2.246,-1.153,0,-0.00,2.35,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
33,0.55055,holding,657,485,654,634,-2.246,-1.153,0,-0.05,4.62,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
34,0.56723,holding,657,485,654,634,-2.246,-1.153,0,0.05,5.91,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
35,0.58392,holding,657,485,655,634,-2.246,-0.769,0,0.09,4.55,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
36,0.6006,holding,657,485,655,634,-2.246,-0.769,0,0.09,4.55,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
37,0.61728,holding,657,485,655,634,-2.246,-0.769,0,0.05,4.69,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
38,0.63397,holding,657,486,655,634,-2.231,-0.774,0,-0.00,4.57,0,148.01,1.61,100,0,0,0,,0,0,0,0,0
39,0.65065,holding,657,485,655,634,-2.246,-0.769,0,-0.05,4.60,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
40,0.66733,holding,657,485,656,634,-2.246,-0.385,0,-0.09,5.95,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
41,0.68402,holding,657,485,656,634,-2.246,-0.385,0,-0.09,4.63,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
42,0.7007,holding,657,485,656,634,-2.246,-0.385,0,-0.05,2.37,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
43,0.71738,holding,657,485,656,634,-2.246,-0.385,0,0.05,-0.04,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
44,0.73407,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-1.34,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
45,0.75075,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-0.00,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
46,0.76743,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-0.00,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
47,0.78412,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-0.00,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
48,0.8008,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-0.00,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
49,0.81748,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-0.00,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
50,0.83417,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-0.00,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
51,0.85085,holding,657,485,656,634,-2.246,-0.385,0,-0.00,1.34,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
52,0.86753,holding,657,485,656,634,-2.246,-0.385,0,-0.00,0.03,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
53,0.88422,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-2.35,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
54,0.9009,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-4.60,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
55,0.91758,holding,657,485,656,634,-2.246,-0.385,0,-0.00,-5.93,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
56,0.93427,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-5.93,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
57,0.95095,holding,657,485,655,634,-2.246,-0.769,0,-0.05,-4.58,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
58,0.96763,holding,657,485,655,634,-2.246,-0.769,0,0.05,-1.03,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
59,0.98432,holding,657,485,655,634,-2.246,-0.769,0,0.09,0.02,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
60,1.001,holding,657,485,655,634,-2.246,-0.769,0,0.09,-1.04,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
61,1.01768,holding,657,485,655,634,-2.246,-0.769,0,-0.00,-4.59,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
62,1.03437,holding,657,486,655,634,-2.231,-0.774,0,0.05,-5.95,0,148.01,1.61,100,0,0,0,,0,0,0,0,0
63,1.05105,holding,657,485,654,634,-2.246,-1.153,0,-0.01,-5.93,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
64,1.06773,holding,657,485,654,634,-2.246,-1.153,0,0.05,-4.65,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
65,1.08442,holding,657,485,654,634,-2.246,-1.153,0,0.05,-2.40,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
66,1.1011,holding,657,486,654,634,-2.231,-1.161,0,0.04,-0.00,0,148.03,1.60,100,0,0,0,,0,0,0,0,0
67,1.11778,holding,657,485,654,634,-2.246,-1.153,0,0.05,1.32,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
68,1.13447,holding,657,486,654,634,-2.231,-1.161,0,-0.09,0.05,0,148.03,1.60,100,0,0,0,,0,0,0,0,0
69,1.15115,holding,657,485,654,634,-2.246,-1.153,0,-0.20,-1.23,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
70,1.16783,holding,657,485,654,634,-2.246,-1.153,0,-0.09,0.01,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
71,1.18452,holding,657,485,654,634,-2.246,-1.153,0,0.05,2.31,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
72,1.2012,holding,657,485,654,634,-2.246,-1.153,0,0.04,4.57,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
73,1.21788,holding,657,485,654,634,-2.246,-1.153,0,0.10,5.86,0,149.03,0.94,100,0,0,0,,0,0,0,0,0
74,1.23457,holding,657,486,655,633,-2.231,-0.779,0,-0.00,5.93,0,147.01,2.28,100,0,0,0,,0,0,0,0,0
75,1.25125,holding,657,485,655,634,-2.246,-0.769,0,-0.05,4.64,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
76,1.26793,holding,657,485,655,634,-2.246,-0.769,0,-0.09,1.07,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
77,1.28462,holding,657,485,655,634,-2.246,-0.769,0,-0.09,0.01,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
78,1.3013,holding,657,485,655,634,-2.246,-0.769,0,-0.05,1.04,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
79,1.31798,holding,657,485,655,634,-2.246,-0.769,0,0.05,4.57,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
80,1.33467,holding,657,485,655,634,-2.246,-0.769,0,-0.00,5.93,0,149.01,0.95,100,0,0,0,,0,0,0,0,0
81,1.35135,holding,657,485,656,634,-2.246,-0.385,0,-0.00,5.93,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
82,1.36803,holding,657,485,656,634,-2.246,-0.385,0,-1.31,5.94,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
83,1.38472,holding,657,485,656,634,-2.246,-0.385,0,-1.37,5.10,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
84,1.4014,holding,657,485,656,634,-2.246,-0.385,0,-0.30,4.90,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
85,1.41808,holding,657,485,656,634,-2.246,-0.385,0,1.51,-3.36,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
86,1.43477,holding,657,485,656,634,-2.246,-0.385,0,6.94,-20.56,0,149.00,0.96,100,0,0,0,,0,0,0,0,0
87,1.45145,free_swing,658,485,656,634,-1.872,-0.769,0,21.76,-48.00,0,149.01,0.95,2500,0,0,0,0.0092,0,0,0,0,0
88,1.46813,free_swing,659,486,655,634,-1.488,-1.548,0,48.19,-78.56,0,148.05,1.59,2500,0,0,0,0.0363,0,0,0,0,0
