t_s,theta1_deg,omega1_deg_s
0.2009,21.4786,130.7707
1.2837,5.4221,154.4972
2.3458,0.7631,122.5640
3.3575,8.9652,90.6319
4.3654,15.2642,12.6710
5.3847,32.1660,-15.6455
6.4717,67.3640,10.4127
7.3461,42.4437,88.0413
8.3767,43.4894,41.2065
9.3813,54.6132,121.4515
10.3593,53.0296,142.9174
11.3591,49.0178,88.1243
12.3546,48.1994,91.9362
13.3482,46.1608,87.8700
14.3394,30.7405,-16.2092
15.3248,13.6384,-14.3325
16.3229,1.4758,112.2775
17.3417,4.0435,85.2683
18.3472,4.6501,81.8044
19.3509,6.2957,46.2996
20.3526,7.4502,14.8395
21.3488,10.5908,41.9394
22.3521,9.0518,4.5124
23.3399,7.4931,33.5259
24.3449,3.9744,92.3561
25.3475,5.0832,67.9780
26.3436,8.5882,40.1031
27.3460,4.5463,84.1748
28.3538,4.6512,98.5157
29.3550,9.7070,53.6778
30.3430,9.7935,29.0913
31.3411,4.3681,88.2247
32.3527,5.2766,65.5497
33.3477,14.7303,-18.5621
