t_s,theta1_deg,omega1_deg_s
5.0000,83.0002,-241.7158
6.0000,60.3723,-10.7245
7.0000,80.4887,-249.6436
8.0000,50.9122,-151.8753
9.0000,79.0091,-226.3979
10.0000,72.5800,-213.6704
11.0000,65.8290,-20.8732
12.0000,79.4256,-229.4760
13.0000,66.2721,-470.5979
14.0000,82.1418,-420.9997
15.0000,54.4180,-111.0551
16.0000,73.5307,-222.3289
17.0000,59.7242,36.1258
18.0000,80.0983,-229.6069
19.0000,69.4710,-223.6942
20.0000,64.6065,-29.2343
21.0000,80.1420,-248.4622
22.0000,63.8344,-470.9172
23.0000,71.5564,-106.6973
24.0000,70.8718,-489.0151
25.0000,85.6798,-239.8204
26.0000,57.3565,35.3870
27.0000,81.8144,-218.3739
28.0000,75.5369,-451.3236
29.0000,79.9973,-316.8008
30.0000,62.5247,-145.0848
31.0000,68.5603,-50.1331
