t_s,theta1_deg,omega1_deg_s
0.0240,-2.6524,-96.9305
0.7144,33.2296,164.9542
1.7541,11.3164,106.0027
3.7776,46.2167,412.2270
4.3027,-56.9266,-172.5306
4.7126,-12.2707,560.7677
5.7876,40.5973,214.9110
6.3499,-66.7309,-237.8861
6.7288,-9.3045,595.8900
7.8151,61.5775,372.2634
8.2957,-60.7437,-173.4720
8.7414,1.4612,627.7501
10.7829,36.5030,252.2897
11.2898,-48.8603,-327.2115
11.7417,-8.1146,586.7824
12.8334,74.2188,427.1264
14.7525,38.9891,126.5024
16.7926,51.3544,322.3531
17.1877,-7.5835,-685.6608
17.7595,2.4624,615.8633
19.7796,36.8711,232.7941
20.3098,-56.1004,-280.8434
20.7439,-2.9903,620.2387
22.7346,11.0391,145.3423
23.8398,75.3571,443.9663
25.8002,45.0954,264.9507
26.2404,-33.3346,-491.9494
26.7564,-0.7287,603.9600
28.5190,-76.5900,377.1320
29.4558,-78.2168,314.3616
29.7163,7.6101,-16.8499
30.7645,21.1741,152.5448
