frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,662,486,659,633,-0.372,-1.169,0,-0.04,0.31,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,662,486,659,633,-0.372,-1.169,0,-0.02,2.94,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,662,486,659,633,-0.372,-1.169,0,-0.01,4.60,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,662,485,660,633,-0.374,-0.774,0,0.00,5.28,0,148.01,3.09,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,662,486,659,633,-0.372,-1.169,0,0.01,4.99,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,662,486,660,633,-0.372,-0.779,0,0.01,3.73,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,662,486,660,633,-0.372,-0.779,0,0.01,-0.16,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,662,486,660,633,-0.372,-0.779,0,0.01,-5.02,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,662,486,660,633,-0.372,-0.779,0,-0.01,-4.68,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,662,486,659,633,-0.372,-1.169,0,-0.01,-4.96,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,662,486,659,633,-0.372,-1.169,0,-0.00,0.01,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,662,486,659,633,-0.372,-1.169,0,-0.01,3.66,0,147.03,3.74,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,662,485,660,633,-0.374,-0.774,0,-0.01,6.06,0,148.01,3.09,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,662,486,660,633,-0.372,-0.779,0,-0.00,6.09,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
14,0.23357,holding,662,486,660,633,-0.372,-0.779,0,-0.01,3.72,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
15,0.25025,holding,662,485,660,633,-0.374,-0.774,0,-0.02,-1.30,0,148.01,3.09,100,0,0,0,,0,0,0,0,0
16,0.26693,holding,662,486,660,633,-0.372,-0.779,0,1.30,-3.87,0,147.01,3.75,100,0,0,0,,0,0,0,0,0
