t_s,theta1_deg,omega1_deg_s
0.0269,-2.7301,-68.9365
0.7177,33.0025,135.3795
2.0981,11.0547,378.3543
7.1722,-114.8290,209.2287
8.4862,-114.8290,143.2745
9.8342,-114.8290,190.2430
11.1504,-114.8290,133.6623
12.4921,-114.8290,136.2267
13.8275,-114.8290,169.4503
15.1704,-114.8290,200.5649
16.4692,-114.8290,100.7156
17.8048,-114.8290,123.0456
19.1719,-114.8290,174.7003
20.4948,-114.8290,169.2047
21.8466,-114.8290,222.1211
23.1401,-114.8290,107.3213
24.5172,-114.8290,233.7414
25.8221,-114.8290,148.9189
27.1671,-114.8290,201.4234
28.5018,-114.8290,187.9414
29.8394,-114.8290,189.3648
31.1613,-114.8290,163.9487
32.5027,-114.8290,208.6640
33.8382,-114.8290,201.7415
