t_s,theta1_deg,omega1_deg_s
5.6000,4.5755,425.5882
6.4000,-12.6925,447.3909
7.2000,-3.0597,305.8150
8.0000,12.3714,400.9268
8.8000,21.0661,465.6424
9.6000,2.2785,313.4364
10.4000,5.1960,363.2179
11.2000,11.9801,489.2556
12.0000,6.0647,318.1374
12.8000,11.6324,432.3774
13.6000,-19.2676,243.1891
14.4000,1.1676,313.7562
15.2000,3.1888,366.5361
16.0000,16.5800,430.8426
16.8000,23.6484,390.5195
17.6000,24.8347,421.7081
18.4000,26.6805,436.5127
19.2000,26.6782,434.7594
20.0000,16.3643,386.5998
20.8000,24.2541,388.4917
21.6000,26.1930,416.4819
22.4000,24.4206,432.8407
23.2000,19.3268,390.0859
24.0000,5.5164,408.9084
24.8000,14.8719,436.5356
25.6000,22.3365,384.6549
26.4000,19.2458,389.3648
27.2000,11.4145,553.2054
28.0000,17.0972,453.0057
28.8000,24.4233,370.8412
29.6000,13.7166,410.8563
30.4000,19.8410,439.9937
31.2000,8.0266,312.1468
32.0000,9.5392,362.0942
