t_s,theta1_deg,omega1_deg_s
0.0364,-3.3864,-95.6489
0.5437,35.0293,163.1343
2.5527,6.0985,130.8294
3.5667,10.3821,116.0014
5.6982,84.1222,96.1554
6.5697,38.6045,117.1297
7.6877,79.0957,127.1180
8.5809,53.6185,176.5009
9.5225,2.3155,167.8897
10.5543,9.5714,110.8651
11.5936,13.7679,34.9619
13.5662,13.9667,89.0995
14.6551,64.8806,229.8898
15.6059,70.7929,255.4324
16.6170,63.1591,194.5412
17.5716,54.2519,191.3328
18.4894,-15.6534,353.4027
21.5481,48.3410,190.3024
22.6515,71.3449,541.8927
23.5760,46.8715,196.0540
24.3302,-45.5622,506.0429
25.5666,28.0950,93.2539
28.4780,-12.1097,483.9649
29.5708,22.3935,284.3268
31.5284,8.2818,277.7479
32.7228,82.5530,18.1353
34.4807,6.1946,457.4966
35.6014,50.7464,171.6839
36.2542,-65.1661,352.7513
37.2011,-66.0381,169.8080
38.1890,-66.7500,113.8766
39.1627,-65.9990,21.1542
40.1946,-67.9998,115.5711
41.1953,-68.5406,121.5401
42.2024,-68.9914,135.9662
43.1969,-69.9413,72.2648
44.1971,-70.7697,55.1668
