frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,662,485,660,625,-0.374,-0.818,0
1,0.01668,holding,662,483,660,625,-0.379,-0.807,0
2,0.03337,holding,662,485,660,625,-0.374,-0.818,0
3,0.05005,holding,662,484,660,625,-0.377,-0.813,0
4,0.06673,holding,662,483,660,625,-0.379,-0.807,0
5,0.08342,holding,662,484,660,625,-0.377,-0.813,0
6,0.1001,holding,661,483,660,625,-0.759,-0.403,0
7,0.11678,holding,662,483,660,625,-0.379,-0.807,0
8,0.13347,holding,662,483,660,625,-0.379,-0.807,0
9,0.15015,holding,662,483,660,625,-0.379,-0.807,0
10,0.16683,holding,662,483,660,625,-0.379,-0.807,0
11,0.18352,holding,661,483,660,625,-0.759,-0.403,0
12,0.2002,holding,661,483,660,625,-0.759,-0.403,0
13,0.21688,holding,661,483,660,625,-0.759,-0.403,0
14,0.23357,holding,661,483,660,625,-0.759,-0.403,0
15,0.25025,holding,661,483,660,626,-0.759,-0.401,0
16,0.26693,holding,661,483,660,624,-0.759,-0.406,0
17,0.28362,holding,661,484,660,626,-0.754,-0.403,0
18,0.3003,holding,661,484,660,626,-0.754,-0.403,0
19,0.31698,holding,661,484,660,626,-0.754,-0.403,0
20,0.33367,holding,662,485,660,625,-0.374,-0.818,0
21,0.35035,holding,662,484,660,625,-0.377,-0.813,0
22,0.36703,holding,662,484,660,625,-0.377,-0.813,0
23,0.38372,holding,662,484,660,625,-0.377,-0.813,0
24,0.4004,holding,662,484,660,625,-0.377,-0.813,0
25,0.41708,holding,662,485,660,626,-0.374,-0.813,0
26,0.43377,holding,662,484,660,625,-0.377,-0.813,0
27,0.45045,holding,662,483,660,625,-0.379,-0.807,0
28,0.46713,holding,662,484,660,624,-0.377,-0.818,0
29,0.48382,holding,662,484,660,624,-0.377,-0.818,0
30,0.5005,holding,662,484,660,625,-0.377,-0.813,0
31,0.51718,holding,662,484,660,624,-0.377,-0.818,0
32,0.53387,holding,662,483,660,624,-0.379,-0.813,0
33,0.55055,holding,662,483,660,624,-0.379,-0.813,0
34,0.56723,holding,662,483,660,624,-0.379,-0.813,0
35,0.58392,holding,662,483,660,624,-0.379,-0.813,0
36,0.6006,holding,662,483,660,624,-0.379,-0.813,0
37,0.61728,holding,662,483,660,623,-0.379,-0.818,0
38,0.63397,holding,662,483,660,624,-0.379,-0.813,0
39,0.65065,holding,662,483,660,624,-0.379,-0.813,0
40,0.66733,holding,662,483,660,624,-0.379,-0.813,0
41,0.68402,holding,662,483,660,624,-0.379,-0.813,0
42,0.7007,holding,662,483,660,624,-0.379,-0.813,0
43,0.71738,holding,662,483,660,624,-0.379,-0.813,0
44,0.73407,holding,662,483,660,624,-0.379,-0.813,0
45,0.75075,holding,662,483,661,626,-0.379,-0.401,0
46,0.76743,holding,662,483,660,624,-0.379,-0.813,0
47,0.78412,holding,662,483,660,623,-0.379,-0.818,0
48,0.8008,holding,661,483,660,624,-0.759,-0.406,0
49,0.81748,holding,662,483,660,623,-0.379,-0.818,0
50,0.83417,holding,662,483,660,623,-0.379,-0.818,0
51,0.85085,holding,661,483,659,630,-0.759,-0.779,0
52,0.86753,holding,662,483,660,624,-0.379,-0.813,0
53,0.88422,holding,662,483,660,623,-0.379,-0.818,0
54,0.9009,holding,662,483,660,623,-0.379,-0.818,0
55,0.91758,holding,662,483,659,630,-0.379,-1.169,0
56,0.93427,holding,662,483,659,630,-0.379,-1.169,0
57,0.95095,holding,662,483,659,630,-0.379,-1.169,0
58,0.96763,holding,662,483,660,623,-0.379,-0.818,0
59,0.98432,holding,662,483,660,627,-0.379,-0.796,0
60,1.001,holding,662,483,660,624,-0.379,-0.813,0
61,1.01768,holding,662,483,660,623,-0.379,-0.818,0
62,1.03437,holding,662,484,659,630,-0.377,-1.177,0
63,1.05105,holding,661,483,660,625,-0.759,-0.403,0
64,1.06773,holding,662,483,660,624,-0.379,-0.813,0
65,1.08442,holding,662,483,660,624,-0.379,-0.813,0
66,1.1011,holding,662,483,660,630,-0.379,-0.779,0
67,1.11778,holding,662,483,660,624,-0.379,-0.813,0
68,1.13447,holding,662,484,660,630,-0.377,-0.785,0
69,1.15115,holding,662,483,660,630,-0.379,-0.779,0
70,1.16783,holding,662,483,660,630,-0.379,-0.779,0
71,1.18452,holding,662,484,660,630,-0.377,-0.785,0
72,1.2012,holding,662,483,660,623,-0.379,-0.818,0
73,1.21788,holding,662,484,660,626,-0.377,-0.807,0
74,1.23457,holding,662,483,660,624,-0.379,-0.813,0
75,1.25125,holding,662,483,660,623,-0.379,-0.818,0
76,1.26793,holding,662,483,660,630,-0.379,-0.779,0
77,1.28462,holding,662,483,660,623,-0.379,-0.818,0
78,1.3013,holding,662,483,660,624,-0.379,-0.813,0
79,1.31798,holding,662,483,660,624,-0.379,-0.813,0
80,1.33467,holding,661,483,660,624,-0.759,-0.406,0
81,1.35135,holding,662,483,660,624,-0.379,-0.813,0
82,1.36803,holding,662,483,660,630,-0.379,-0.779,0
83,1.38472,holding,662,483,660,623,-0.379,-0.818,0
84,1.4014,holding,662,483,660,630,-0.379,-0.779,0
85,1.41808,holding,662,483,659,630,-0.379,-1.169,0
86,1.43477,holding,662,483,660,623,-0.379,-0.818,0
87,1.45145,holding,662,483,660,630,-0.379,-0.779,0
88,1.46813,holding,662,483,660,630,-0.379,-0.779,0
89,1.48482,holding,662,483,660,630,-0.379,-0.779,0
90,1.5015,holding,662,483,660,630,-0.379,-0.779,0
91,1.51818,holding,662,483,660,625,-0.379,-0.807,0
92,1.53487,holding,662,483,659,630,-0.379,-1.169,0
93,1.55155,holding,662,483,659,630,-0.379,-1.169,0
94,1.56823,holding,662,483,659,630,-0.379,-1.169,0
95,1.58492,holding,662,483,659,630,-0.379,-1.169,0
96,1.6016,holding,662,483,659,630,-0.379,-1.169,0
97,1.61828,holding,662,483,659,630,-0.379,-1.169,0
98,1.63497,holding,662,483,659,630,-0.379,-1.169,0
99,1.65165,holding,662,483,659,630,-0.379,-1.169,0
100,1.66833,holding,662,483,659,630,-0.379,-1.169,0
101,1.68502,holding,662,483,659,630,-0.379,-1.169,0
102,1.7017,holding,662,484,660,630,-0.377,-0.785,0
103,1.71838,holding,662,483,659,630,-0.379,-1.169,0
104,1.73507,holding,662,483,659,630,-0.379,-1.169,0
105,1.75175,holding,662,483,659,630,-0.379,-1.169,0
106,1.76843,holding,662,483,659,630,-0.379,-1.169,0
107,1.78512,holding,662,483,659,630,-0.379,-1.169,0
108,1.8018,holding,662,483,659,630,-0.379,-1.169,0
109,1.81848,holding,662,483,659,630,-0.379,-1.169,0
110,1.83517,holding,662,483,660,624,-0.379,-0.813,0
111,1.85185,holding,662,483,660,624,-0.379,-0.813,0
112,1.86853,holding,662,483,660,624,-0.379,-0.813,0
113,1.88522,holding,661,483,659,630,-0.759,-0.779,0
114,1.9019,holding,662,483,659,630,-0.379,-1.169,0
115,1.91858,holding,662,483,659,630,-0.379,-1.169,0
116,1.93527,holding,662,483,660,623,-0.379,-0.818,0
117,1.95195,holding,662,483,660,623,-0.379,-0.818,0
