frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,662,485,660,625,-0.374,-0.818,0,0.90,-0.95,0,140.01,4.76,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,662,483,660,625,-0.379,-0.807,0,-0.29,0.33,0,142.01,3.40,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,662,485,660,625,-0.374,-0.818,0,-1.11,1.21,0,140.01,4.76,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,662,484,660,625,-0.377,-0.813,0,-1.56,1.69,0,141.01,4.08,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,662,483,660,625,-0.379,-0.807,0,-1.63,1.77,0,142.01,3.40,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,662,484,660,625,-0.377,-0.813,0,-1.34,1.46,0,141.01,4.08,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,661,483,660,625,-0.759,-0.403,0,1.29,-1.32,0,142.00,3.41,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,662,483,660,625,-0.379,-0.807,0,1.34,-1.40,0,142.01,3.40,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,662,483,660,625,-0.379,-0.807,0,-0.11,0.12,0,142.01,3.40,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,662,483,660,625,-0.379,-0.807,0,-2.21,2.36,0,142.01,3.40,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,662,483,660,625,-0.379,-0.807,0,-4.56,4.82,0,142.01,3.40,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,661,483,660,625,-0.759,-0.403,0,-7.19,7.66,0,142.00,3.41,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,661,483,660,625,-0.759,-0.403,0,-4.57,4.84,0,142.00,3.41,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,661,483,660,625,-0.759,-0.403,0,-2.33,2.47,0,142.00,3.41,100,0,0,0,,0,0,0,0,0
