frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,residual_suspect,energy_J,energy_ceiling_suspect,energy_rolling_spike,energy_suspect,trend_arm_suspect,omega_cap_suspect
0,0.0,holding,727,465,725,628,47.250641,-0.703,0,-5.95,14.17,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
1,0.01668,holding,726,465,726,629,47.009554,0.0,0,-2.23,4.12,0,164.00,0.73,100,0,0,0,,0,0,0,0,0
2,0.03337,holding,726,465,726,629,47.009554,0.0,0,0.62,-3.75,0,164.00,0.73,100,0,0,0,,0,0,0,0,0
3,0.05005,holding,727,465,725,629,47.250641,-0.699,0,2.60,-9.44,0,164.01,0.74,100,0,0,0,,0,0,0,0,0
4,0.06673,holding,727,465,725,628,47.250641,-0.703,0,3.70,-12.96,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
5,0.08342,holding,727,465,724,628,47.250641,-1.054,0,3.93,-14.30,0,163.03,0.14,100,0,0,0,,0,0,0,0,0
6,0.1001,holding,727,465,724,628,47.250641,-1.054,0,0.60,-8.35,0,163.03,0.14,100,0,0,0,,0,0,0,0,0
7,0.11678,holding,727,465,724,628,47.250641,-1.054,0,0.04,-5.11,0,163.03,0.14,100,0,0,0,,0,0,0,0,0
8,0.13347,holding,727,464,723,628,47.511363,-1.397,0,1.60,-5.39,0,164.05,0.76,100,0,0,0,,0,0,0,0,0
9,0.15015,holding,727,465,723,628,47.250641,-1.406,0,2.23,-3.02,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
10,0.16683,holding,727,465,723,628,47.250641,-1.406,0,2.50,-2.21,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
11,0.18352,holding,727,464,723,627,47.511363,-1.406,0,2.41,-0.03,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
12,0.2002,holding,727,464,723,627,47.511363,-1.406,0,2.23,1.20,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
13,0.21688,holding,727,464,723,627,47.511363,-1.406,0,2.51,-1.20,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
14,0.23357,holding,727,464,723,627,47.511363,-1.406,0,-0.02,-0.02,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
15,0.25025,holding,727,464,723,627,47.511363,-1.406,0,-0.91,2.16,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
16,0.26693,holding,727,464,723,627,47.511363,-1.406,0,0.00,2.99,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
17,0.28362,holding,727,464,723,627,47.511363,-1.406,0,0.91,5.41,0,163.05,0.15,100,0,0,0,,0,0,0,0,0
18,0.3003,holding,727,464,724,627,47.511363,-1.054,0,0.02,6.36,0,163.03,0.14,100,0,0,0,,0,0,0,0,0
19,0.31698,holding,727,464,724,627,47.511363,-1.054,0,-1.60,8.40,0,163.03,0.14,100,0,0,0,,0,0,0,0,0
20,0.33367,holding,727,464,724,627,47.511363,-1.054,0,-2.28,8.49,0,163.03,0.14,100,0,0,0,,0,0,0,0,0
21,0.35035,holding,727,464,725,627,47.511363,-0.703,0,-4.01,8.34,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
22,0.36703,holding,727,465,725,628,47.250641,-0.703,0,-4.60,10.52,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
23,0.38372,holding,727,465,726,628,47.250641,-0.352,0,-6.00,13.94,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
24,0.4004,holding,727,465,726,628,47.250641,-0.352,0,-6.90,13.83,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
25,0.41708,holding,726,465,726,628,47.009554,0.0,0,-6.80,11.79,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
26,0.43377,holding,726,465,727,628,47.009554,0.352,0,-5.12,8.40,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
27,0.45045,holding,726,466,727,629,46.750854,0.352,0,-5.45,5.12,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
28,0.46713,holding,726,466,727,629,46.750854,0.352,0,-4.57,4.28,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
29,0.48382,holding,726,466,727,629,46.750854,0.352,0,-4.51,4.18,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
30,0.5005,holding,726,466,727,629,46.750854,0.352,0,-2.90,2.98,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
31,0.51718,holding,725,466,727,629,46.507436,0.703,0,-1.34,4.47,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
32,0.53387,holding,725,466,727,629,46.507436,0.703,0,-1.49,2.17,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
33,0.55055,holding,725,466,727,629,46.507436,0.703,0,-1.50,0.02,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
34,0.56723,holding,726,466,727,629,46.750854,0.352,0,0.00,-2.98,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
35,0.58392,holding,725,466,727,629,46.507436,0.703,0,1.50,-7.56,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
36,0.6006,holding,725,466,726,629,46.507436,0.352,0,2.34,-10.96,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
37,0.61728,holding,725,466,726,629,46.507436,0.352,0,1.41,-9.25,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
38,0.63397,holding,726,466,726,629,46.750854,0.0,0,1.41,-9.61,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
39,0.65065,holding,726,466,725,629,46.750854,-0.352,0,2.34,-9.71,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
40,0.66733,holding,726,466,725,629,46.750854,-0.352,0,1.50,-9.34,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
41,0.68402,holding,725,466,725,629,46.507436,0.0,0,-0.85,-7.27,0,163.00,0.12,100,0,0,0,,0,0,0,0,0
42,0.7007,holding,726,466,724,629,46.750854,-0.703,0,-1.52,-7.38,0,163.01,0.13,100,0,0,0,,0,0,0,0,0
