t_s,theta1_deg,omega1_deg_s
0.3701,-56.2405,-308.4525
0.9334,-13.0057,-198.5066
2.4100,17.5066,-106.8722
3.1735,-46.3639,-326.5717
3.7031,-32.9868,165.0349
5.0558,36.5026,118.5596
5.4939,45.0269,-254.7498
6.1848,-33.7489,374.3496
7.6600,-9.1313,-116.3221
9.1045,-8.2418,-36.6711
10.5433,-4.8708,-121.2847
11.9820,-3.8358,-76.5151
13.4106,-10.3366,22.7840
14.8413,-4.0033,-145.2485
16.2706,6.2792,-135.7020
17.7087,20.0067,163.2727
19.1251,17.3087,339.7599
20.5280,-23.1191,220.8119
21.9428,-18.4514,154.6221
