frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,holding,770,346,936,415,93.179830,67.429,0
1,0.01668,holding,770,346,936,415,93.179830,67.429,0
2,0.03337,holding,770,346,938,413,93.179830,68.257,0
3,0.05005,holding,770,346,938,413,93.179830,68.257,0
4,0.06673,holding,770,346,938,413,93.179830,68.257,0
5,0.08342,holding,770,346,938,413,93.179830,68.257,0
6,0.1001,holding,770,346,938,413,93.179830,68.257,0
7,0.11678,holding,770,346,938,413,93.179830,68.257,0
8,0.13347,holding,770,346,936,415,93.179830,67.429,0
9,0.15015,holding,770,346,936,415,93.179830,67.429,0
10,0.16683,holding,770,346,936,416,93.179830,67.135,0
11,0.18352,holding,769,347,935,416,92.844656,67.429,0
12,0.2002,holding,770,346,935,416,93.179830,67.011,0
13,0.21688,holding,770,347,935,416,92.827125,67.306,0
14,0.23357,holding,770,347,936,417,92.827125,67.135,0
15,0.25025,holding,770,347,935,417,92.827125,67.011,0
16,0.26693,holding,770,347,935,417,92.827125,67.011,0
17,0.28362,holding,770,347,935,417,92.827125,67.011,0
18,0.3003,holding,770,347,935,417,92.827125,67.011,0
19,0.31698,holding,770,347,935,418,92.827125,66.718,0
20,0.33367,holding,770,347,935,418,92.827125,66.718,0
21,0.35035,holding,770,347,935,418,92.827125,66.718,0
22,0.36703,holding,770,347,935,418,92.827125,66.718,0
23,0.38372,holding,770,347,935,418,92.827125,66.718,0
24,0.4004,holding,770,347,935,418,92.827125,66.718,0
25,0.41708,holding,770,347,935,418,92.827125,66.718,0
26,0.43377,holding,770,347,935,418,92.827125,66.718,0
27,0.45045,holding,770,347,934,418,92.827125,66.591,0
28,0.46713,holding,770,347,934,418,92.827125,66.591,0
29,0.48382,holding,770,347,934,418,92.827125,66.591,0
30,0.5005,holding,770,347,934,418,92.827125,66.591,0
31,0.51718,holding,770,347,934,418,92.827125,66.591,0
32,0.53387,holding,770,347,934,418,92.827125,66.591,0
33,0.55055,holding,770,347,934,418,92.827125,66.591,0
34,0.56723,holding,770,347,934,418,92.827125,66.591,0
35,0.58392,holding,770,347,934,418,92.827125,66.591,0
36,0.6006,holding,770,347,934,417,92.827125,66.886,0
37,0.61728,holding,769,347,933,417,92.844656,66.886,0
38,0.63397,holding,770,347,934,417,92.827125,66.886,0
39,0.65065,holding,770,347,934,417,92.827125,66.886,0
40,0.66733,holding,770,347,934,417,92.827125,66.886,0
41,0.68402,holding,770,347,934,417,92.827125,66.886,0
42,0.7007,holding,770,347,934,417,92.827125,66.886,0
43,0.71738,holding,770,347,934,417,92.827125,66.886,0
44,0.73407,holding,770,347,934,417,92.827125,66.886,0
45,0.75075,holding,770,347,933,417,92.827125,66.759,0
46,0.76743,holding,770,347,933,418,92.827125,66.463,0
47,0.78412,holding,770,347,933,418,92.827125,66.463,0
48,0.8008,holding,770,347,933,418,92.827125,66.463,0
49,0.81748,holding,770,347,933,418,92.827125,66.463,0
50,0.83417,holding,770,347,933,418,92.827125,66.463,0
51,0.85085,holding,770,347,933,418,92.827125,66.463,0
52,0.86753,holding,770,347,921,459,92.827125,53.546,0
53,0.88422,holding,770,347,892,490,92.827125,40.622,0
54,0.9009,holding,770,347,857,513,92.827125,27.705,0
55,0.91758,holding,770,347,818,529,92.827125,14.789,0
56,0.93427,holding,769,347,775,535,92.844656,1.864,0
57,0.95095,holding,771,347,735,532,92.809808,-11.052,0
58,0.96763,holding,769,348,693,520,92.489553,-23.969,0
59,0.98432,holding,771,347,658,497,92.809808,-36.894,0
60,1.001,holding,771,345,627,466,93.510678,-49.810,0
61,1.01768,holding,769,345,602,431,93.554178,-62.727,0
62,1.03437,holding,769,347,587,394,92.844656,-75.651,0
63,1.05105,holding,769,347,609,351,92.844656,-88.568,0
64,1.06773,holding,771,345,608,352,93.510678,-87.541,0
65,1.08442,holding,769,345,608,352,93.554178,-87.51,0
66,1.1011,holding,769,347,609,353,92.844656,-87.852,0
67,1.11778,holding,769,347,609,352,92.844656,-88.21,0
68,1.13447,holding,769,348,609,353,92.489553,-88.21,0
69,1.15115,holding,769,347,609,352,92.844656,-88.21,0
70,1.16783,holding,769,345,609,352,93.554178,-87.495,0
71,1.18452,holding,768,347,609,353,92.862405,-87.839,0
72,1.2012,holding,769,348,608,351,92.489553,-88.933,0
73,1.21788,holding,768,347,608,352,92.862405,-88.21,0
74,1.23457,holding,769,347,608,352,92.844656,-88.221,0
75,1.25125,holding,768,347,609,351,92.862405,-88.559,0
76,1.26793,holding,771,347,609,352,92.809808,-88.232,0
77,1.28462,holding,769,347,608,355,92.844656,-87.155,0
78,1.3013,holding,771,347,609,353,92.809808,-87.879,0
79,1.31798,holding,771,347,608,353,92.809808,-87.892,0
80,1.33467,holding,769,347,608,352,92.844656,-88.221,0
81,1.35135,holding,768,348,611,356,92.505093,-87.083,0
82,1.36803,holding,771,351,609,359,91.405749,-87.173,0
83,1.38472,holding,771,352,608,360,91.054405,-87.19,0
84,1.4014,free_swing,768,356,608,365,89.641906,-86.781,0
85,1.41808,free_swing,769,364,608,372,86.800460,-87.155,0
86,1.43477,free_swing,769,371,607,379,84.324644,-87.173,0
87,1.45145,free_swing,768,381,607,387,80.770114,-87.866,0
88,1.46813,free_swing,765,393,604,399,76.393897,-87.866,0
89,1.48482,free_swing,763,405,600,412,72.121303,-87.541,0
90,1.5015,free_swing,759,415,595,424,68.329552,-86.859,0
91,1.51818,free_swing,753,431,588,441,62.339261,-86.532,0
92,1.53487,free_swing,743,445,580,459,56.309932,-85.091,0
93,1.55155,free_swing,733,457,572,480,50.785555,-81.87,0
94,1.56823,free_swing,724,469,563,504,45.498212,-77.735,0
95,1.58492,free_swing,709,483,553,529,38.275647,-73.571,0
96,1.6016,free_swing,695,493,543,557,32.228757,-67.166,0
97,1.61828,free_swing,,,533,589,,,1
98,1.63497,free_swing,,,529,621,,,1
99,1.65165,free_swing,628,515,532,652,7.125016,-35.02,0
100,1.66833,free_swing,596,517,541,697,-4.236395,-16.985,0
101,1.68502,free_swing,561,510,564,672,-16.868658,1.061,0
102,1.7017,free_swing,535,500,581,653,-26.722890,16.734,0
103,1.71838,free_swing,513,486,592,626,-35.949278,29.435,0
104,1.73507,free_swing,497,472,599,595,-43.492564,39.668,0
105,1.75175,free_swing,485,459,606,570,-49.784530,47.468,0
106,1.76843,free_swing,475,447,608,540,-55.327254,55.037,0
107,1.78512,free_swing,468,435,610,512,-60.255119,61.531,0
108,1.8018,free_swing,462,424,611,487,-64.704454,67.08,0
109,1.81848,free_swing,458,414,611,461,-68.528632,72.924,0
110,1.83517,free_swing,454,404,611,439,-72.349876,77.433,0
