t_s,theta1_deg,omega1_deg_s
0.2109,21.3697,116.9931
1.0990,18.8666,46.8764
2.1157,-0.4057,141.0368
3.1298,5.7997,80.7680
4.1423,2.2872,110.9443
5.1520,3.2039,98.7922
6.1376,8.9315,57.9779
7.1373,3.2061,83.6648
8.1417,6.3502,75.9658
9.1365,7.1846,77.2662
10.1411,12.5286,85.0419
11.1418,14.5251,18.2450
12.1347,13.2669,1.3418
13.1286,4.7739,68.2712
14.1406,4.3957,107.6761
15.1445,8.9289,71.1225
16.1491,8.5775,91.6715
17.1432,13.6997,38.3103
18.1523,8.1146,0.8249
19.1426,3.6492,79.2912
20.1296,7.4470,78.5392
21.1236,5.3036,71.5521
22.1346,4.5507,96.1078
23.1436,4.6253,83.9559
24.1406,4.8152,74.0499
25.1327,8.3786,82.4595
26.1355,4.1496,80.2334
27.1391,8.1830,72.6921
28.1407,5.8794,50.0072
29.1432,4.6509,96.6250
30.1436,9.0085,101.5781
31.1406,12.4776,69.2521
32.1494,18.5717,52.1822
33.2443,58.9707,88.2933
34.1573,53.3939,138.7837
35.1339,50.0572,154.3279
36.2306,-19.9389,88.9732
