t_s,theta1_deg,omega1_deg_s
0.1790,23.2159,138.3442
1.1425,12.9466,34.1909
2.1516,4.7796,137.4591
3.1688,11.1215,85.3623
4.1903,2.1691,111.1520
5.1856,9.4440,86.9746
6.1848,7.7247,37.4245
7.1762,4.5327,65.1608
8.1821,2.3023,123.2046
9.1837,6.3400,40.6080
10.1930,7.0237,110.4823
11.1794,9.7070,26.5016
12.1645,5.9700,43.3131
13.1684,2.4467,119.0857
14.1796,4.3722,78.9785
15.1878,4.3524,64.4196
16.1907,4.4560,46.9814
17.1859,4.2207,73.3962
18.1968,7.6059,57.5365
19.1783,6.5624,40.9832
20.1765,4.8800,87.3467
21.1770,7.4304,46.2079
22.1828,2.7052,83.5834
23.1814,6.3400,41.7062
24.1871,3.8381,83.9515
25.1855,7.9550,63.9870
26.1793,8.5935,39.7120
27.1821,3.0333,96.5757
28.1863,4.6580,83.8723
29.1921,3.1786,74.8761
30.1978,4.4767,62.5573
31.1887,11.2370,17.8374
32.1915,10.0584,-13.1843
33.1786,8.2839,39.3367
34.1721,6.3286,43.6530
35.1694,5.2860,76.8150
36.1983,8.5685,109.2401
