frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,581,492,600,591,-27.135,10.864,0,4.86,1196.63,1,100.81,27.78,2500,0,0,0
1,0.01668,free_swing,582,492,617,528,-26.851,44.193,0,4.05,460.71,1,50.21,64.03,2500,1,0,0
2,0.03337,free_swing,581,492,614,544,-27.135,32.400,0,3.24,-52.73,1,61.59,55.87,2500,1,0,0
3,0.05005,free_swing,582,492,599,598,-26.851,9.111,0,2.43,-343.70,1,107.35,23.08,2500,1,0,0
4,0.06673,free_swing,582,492,615,536,-26.851,36.870,0,4.53,-23.06,1,55.00,60.59,2500,1,0,0
5,0.08342,free_swing,582,492,607,563,-26.851,19.398,0,-1.49,-167.65,1,75.27,46.07,2500,0,0,0
6,0.1001,free_swing,582,492,602,580,-26.851,12.804,0,0.00,-253.60,1,90.24,35.34,2500,0,0,0
7,0.11678,free_swing,582,492,605,572,-26.851,16.040,0,0.00,-89.72,1,83.24,40.36,2500,0,0,0
8,0.13347,free_swing,582,492,610,561,-26.851,22.087,0,1.49,192.39,1,74.46,46.65,2500,1,0,0
9,0.15015,free_swing,582,492,590,616,-26.851,3.691,0,-3.04,-23.00,1,124.26,10.97,2500,1,0,0
10,0.16683,free_swing,582,492,614,546,-26.851,30.651,0,-6.96,-216.42,1,62.77,55.03,2500,0,0,0
11,0.18352,free_swing,581,492,590,608,-27.135,4.436,0,-6.96,-224.40,1,116.35,16.64,2500,0,0,0
12,0.2002,free_swing,581,492,590,608,-27.135,4.436,0,-3.04,-436.41,1,116.35,16.64,2500,1,0,0
13,0.21688,free_swing,581,492,591,594,-27.135,5.599,0,1.49,43.99,1,102.49,26.57,2500,1,0,0
14,0.23357,free_swing,581,492,585,630,-27.135,1.660,0,0.00,10.52,0,138.06,1.09,2500,0,0,0
15,0.25025,free_swing,581,492,585,616,-27.135,1.848,0,0.00,6.77,1,124.06,11.11,2500,0,0,0
16,0.26693,free_swing,581,492,592,581,-27.135,7.046,0,-0.75,-6.83,1,89.68,35.75,2500,0,0,0
17,0.28362,free_swing,581,492,582,610,-27.135,0.486,0,2.30,-32.71,1,118.00,15.45,2500,0,0,0
18,0.3003,free_swing,581,492,584,589,-27.135,1.771,0,1.99,-57.70,1,97.05,30.47,2500,0,0,0
19,0.31698,free_swing,581,493,587,587,-26.991,3.652,0,0.00,-49.88,1,94.19,32.52,2500,0,0,0
20,0.33367,free_swing,581,492,580,606,-27.135,-0.503,0,-1.99,-47.47,1,114.00,18.32,2500,0,0,0
21,0.35035,free_swing,581,492,578,589,-27.135,-1.771,0,-2.30,27.61,1,97.05,30.47,2500,0,0,0
22,0.36703,free_swing,581,492,588,600,-27.135,3.708,0,0.00,42.07,1,108.23,22.46,2500,0,0,0
23,0.38372,free_swing,581,492,583,591,-27.135,1.157,0,2.30,44.72,1,99.02,29.06,2500,0,0,0
24,0.4004,free_swing,581,492,581,629,-27.135,0.000,0,1.99,-24.14,0,137.00,1.84,2500,0,0,0
25,0.41708,free_swing,581,493,589,587,-26.991,4.865,0,-0.75,41.46,1,94.34,32.41,2500,0,0,0
26,0.43377,free_swing,581,492,584,616,-27.135,1.386,0,1.79,194.85,1,124.04,11.13,2500,0,0,0
27,0.45045,free_swing,581,492,591,595,-27.135,5.545,0,-4.06,155.16,1,103.48,25.86,2500,0,0,0
28,0.46713,free_swing,581,493,596,559,-26.991,12.804,0,-5.48,-59.08,1,67.68,51.51,2500,1,0,0
29,0.48382,free_swing,580,492,588,589,-27.418,4.715,0,-4.00,-144.26,1,97.33,30.27,2500,0,0,0
30,0.5005,free_swing,581,491,581,628,-27.281,0.000,0,2.37,12.15,0,137.00,1.84,2500,0,0,0
31,0.51718,free_swing,581,492,598,591,-27.135,9.744,0,5.72,71.31,1,100.45,28.03,2500,0,0,0
32,0.53387,free_swing,581,492,596,599,-27.135,7.980,0,-1.25,86.38,1,108.05,22.59,2500,0,0,0
33,0.55055,free_swing,581,491,584,587,-27.281,1.790,0,-9.63,-84.76,1,96.05,31.19,2500,0,0,0
34,0.56723,free_swing,581,491,597,571,-27.281,11.310,0,-4.67,-92.86,1,81.58,41.55,2500,0,0,0
35,0.58392,free_swing,580,491,584,627,-27.565,1.685,0,6.64,-72.11,0,136.06,2.52,2500,0,0,0
36,0.6006,free_swing,581,492,582,625,-27.135,0.431,0,8.73,-136.64,0,133.00,4.71,2500,0,0,0
37,0.61728,free_swing,581,493,590,615,-26.991,4.219,0,7.63,43.23,1,122.33,12.35,2500,0,0,0
38,0.63397,free_swing,581,492,582,613,-27.135,0.474,0,-2.20,1.72,1,121.00,13.30,2500,0,0,0
39,0.65065,free_swing,581,493,584,602,-26.991,1.577,0,6.51,-5.17,1,109.04,21.88,2500,0,0,0
40,0.66733,free_swing,581,493,586,594,-26.991,2.834,0,3.92,11.32,1,101.12,27.55,2500,0,0,0
41,0.68402,free_swing,582,493,586,627,-26.707,1.710,0,-1.99,-46.41,0,134.06,3.95,2500,0,0,0
42,0.7007,free_swing,581,492,581,610,-27.135,0.000,0,-5.46,-44.55,1,118.00,15.46,2500,0,0,0
43,0.71738,free_swing,581,493,583,612,-26.991,0.963,0,-6.07,-46.76,1,119.02,14.73,2500,0,0,0
44,0.73407,free_swing,581,492,581,614,-27.135,0.000,0,0.25,50.39,1,122.00,12.59,2500,0,0,0
45,0.75075,free_swing,581,492,580,604,-27.135,-0.512,0,-2.30,112.34,1,112.00,19.75,2500,0,0,0
