frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
0,0.0,free_swing,583,493,595,616,-26.423,5.572,0,-15.71,433.57,1,123.58,10.43,2500,0,0,0
1,0.01668,free_swing,582,493,602,560,-26.707,16.621,0,-4.46,137.37,1,69.92,49.32,2500,1,0,0
2,0.03337,free_swing,583,493,592,592,-26.423,5.194,0,2.53,-25.65,1,99.41,27.95,2500,0,0,0
3,0.05005,free_swing,582,493,609,578,-26.707,17.622,0,5.27,-55.50,1,89.19,35.36,2500,0,0,0
4,0.06673,free_swing,583,493,593,588,-26.423,6.009,0,0.17,273.54,1,95.52,30.77,2500,1,0,0
5,0.08342,free_swing,583,493,602,554,-26.423,17.301,0,2.57,25.63,1,63.89,53.69,2500,1,0,0
6,0.1001,free_swing,583,492,612,570,-26.565,20.395,0,-0.74,117.77,1,83.22,39.69,2500,0,0,0
7,0.11678,free_swing,583,493,597,574,-26.423,9.806,0,-0.30,-398.14,1,82.20,40.42,2500,1,0,0
8,0.13347,free_swing,583,493,601,563,-26.423,14.421,0,0.30,-129.55,1,72.28,47.62,2500,1,0,0
9,0.15015,free_swing,583,492,585,609,-26.565,0.979,0,-0.74,45.78,1,117.02,15.19,2500,0,0,0
10,0.16683,free_swing,583,493,603,560,-26.423,16.621,0,2.70,6.75,1,69.92,49.32,2500,0,0,0
11,0.18352,free_swing,583,493,594,579,-26.423,7.289,0,0.74,-19.80,1,86.70,37.16,2500,0,0,0
12,0.2002,free_swing,583,493,598,580,-26.423,9.782,0,-4.22,188.92,1,88.28,36.01,2500,1,0,0
13,0.21688,free_swing,583,492,598,569,-26.565,11.023,0,-3.48,436.88,1,78.45,43.14,2500,1,0,0
14,0.23357,free_swing,583,492,608,534,-26.565,30.763,0,-2.26,88.01,1,48.88,64.58,2500,1,0,0
15,0.25025,free_swing,583,492,609,573,-26.565,17.796,0,4.50,346.09,1,85.07,38.34,2500,1,0,0
16,0.26693,free_swing,583,492,608,559,-26.565,20.462,0,-2.60,-44.41,1,71.51,48.17,2500,1,0,0
17,0.28362,free_swing,583,493,615,530,-26.423,40.855,0,-2.45,-249.58,1,48.92,64.55,2500,1,0,0
18,0.3003,free_swing,582,492,594,585,-26.851,7.352,0,-5.02,-409.29,1,93.77,32.04,2500,0,0,0
19,0.31698,free_swing,583,492,599,593,-26.565,9.002,0,-5.33,-602.73,1,102.26,25.89,2500,0,0,0
20,0.33367,free_swing,582,492,602,557,-26.851,17.103,0,-1.71,650.31,1,68.01,50.71,2500,1,0,0
21,0.35035,free_swing,582,492,585,588,-26.851,1.790,0,-6.06,305.57,1,96.05,30.39,2500,1,0,0
22,0.36703,free_swing,582,492,613,526,-26.851,42.357,0,6.06,-212.23,1,46.01,66.65,2500,1,0,0
