frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
0,0.0,free_swing,569,491,728,488,-30.591,91.081,0
1,0.01668,free_swing,553,489,716,458,-35.017,100.768,0
2,0.03337,free_swing,537,485,698,461,-39.472,98.479,0
3,0.05005,free_swing,522,479,680,448,-43.807,101.101,0
4,0.06673,free_swing,507,473,664,464,-47.891,93.281,0
5,0.08342,free_swing,492,465,647,456,-52.125,93.323,0
6,0.1001,free_swing,480,454,640,448,-56.310,92.148,0
7,0.11678,free_swing,468,444,617,468,-60.129,80.850,0
8,0.13347,free_swing,459,435,601,480,-63.211,72.417,0
9,0.15015,free_swing,454,428,583,501,-65.329,60.495,0
10,0.16683,free_swing,451,424,567,501,-66.541,56.424,0
11,0.18352,free_swing,451,424,543,523,-66.541,42.901,0
12,0.2002,free_swing,454,428,527,542,-65.329,32.634,0
13,0.21688,free_swing,463,438,503,550,-62.076,19.654,0
14,0.23357,free_swing,474,449,496,532,-58.241,14.845,0
15,0.25025,free_swing,490,463,456,560,-52.866,-19.316,0
16,0.26693,free_swing,512,475,437,543,-46.559,-47.802,0
17,0.28362,free_swing,531,484,422,537,-40.972,-64.069,0
18,0.3003,free_swing,547,488,423,512,-36.634,-79.046,0
19,0.31698,free_swing,560,490,433,489,-33.100,-90.451,0
20,0.33367,free_swing,573,492,440,471,-29.358,-98.973,0
21,0.35035,free_swing,589,492,447,464,-24.821,-101.155,0
22,0.36703,free_swing,605,490,462,442,-20.158,-108.555,0
23,0.38372,free_swing,622,487,475,436,-14.816,-109.134,0
24,0.4004,free_swing,639,482,495,429,-9.090,-110.206,0
25,0.41708,free_swing,654,474,510,407,-3.627,-114.952,0
26,0.43377,free_swing,670,465,521,425,3.013,-105.027,0
27,0.45045,free_swing,686,454,538,422,10.676,-102.200,0
28,0.46713,free_swing,699,441,546,423,18.277,-96.710,0
29,0.48382,free_swing,712,427,567,428,27.284,-89.605,0
30,0.5005,free_swing,720,414,576,448,34.804,-76.715,0
31,0.51718,free_swing,726,404,619,379,41.186,-103.151,0
32,0.53387,free_swing,729,397,624,440,45.437,-67.730,0
33,0.55055,free_swing,730,395,631,480,46.762,-49.351,0
34,0.56723,free_swing,730,397,657,455,45.868,-51.532,0
35,0.58392,free_swing,726,403,669,469,41.583,-40.815,0
36,0.6006,free_swing,723,412,689,534,36.870,-15.573,0
37,0.61728,free_swing,714,425,717,515,28.740,1.909,0
38,0.63397,free_swing,702,441,733,554,19.687,15.341,0
39,0.65065,free_swing,683,459,750,531,8.949,42.940,0
40,0.66733,free_swing,660,473,772,465,-1.219,94.086,0
41,0.68402,free_swing,641,482,778,523,-8.344,73.339,0
42,0.7007,free_swing,623,487,761,450,-14.470,105.009,0
43,0.71738,free_swing,607,490,756,471,-19.516,97.267,0
44,0.73407,free_swing,590,492,741,468,-24.525,99.031,0
45,0.75075,free_swing,574,491,727,432,-29.238,111.088,0
46,0.76743,free_swing,558,491,719,449,-33.440,104.621,0
47,0.78412,free_swing,542,486,699,420,-38.157,112.801,0
48,0.8008,free_swing,525,481,680,437,-42.805,105.848,0
49,0.81748,free_swing,509,473,667,441,-47.523,101.449,0
50,0.83417,free_swing,492,465,658,449,-52.125,95.505,0
51,0.85085,free_swing,479,455,640,449,-56.238,92.134,0
52,0.86753,free_swing,468,444,625,473,-60.129,79.535,0
53,0.88422,free_swing,459,435,596,487,-63.211,69.215,0
54,0.9009,free_swing,454,427,575,502,-65.556,58.208,0
55,0.91758,free_swing,451,424,554,505,-66.541,51.818,0
56,0.93427,free_swing,452,425,560,454,-66.214,74.970,0
57,0.95095,free_swing,455,429,507,531,-64.998,27.013,0
58,0.96763,free_swing,462,437,493,520,-62.418,20.480,0
59,0.98432,free_swing,472,448,455,545,-58.728,-9.941,0
60,1.001,free_swing,489,462,419,550,-53.236,-38.501,0
61,1.01768,free_swing,507,473,395,547,-47.891,-56.547,0
62,1.03437,free_swing,521,481,397,514,-43.622,-75.097,0
63,1.05105,free_swing,534,485,405,480,-40.135,-92.220,0
64,1.06773,free_swing,546,488,419,449,-36.870,-107.071,0
65,1.08442,free_swing,558,489,445,407,-33.774,-125.967,0
66,1.1011,free_swing,570,491,458,383,-30.324,-133.958,0
67,1.11778,free_swing,586,491,476,376,-25.840,-136.273,0
68,1.13447,free_swing,602,490,505,351,-21.110,-145.091,0
69,1.15115,free_swing,619,487,497,387,-15.848,-129.341,0
70,1.16783,free_swing,636,482,521,366,-10.204,-135.248,0
71,1.18452,free_swing,653,475,522,375,-4.000,-127.357,0
72,1.2012,free_swing,670,465,534,376,3.013,-123.201,0
73,1.21788,free_swing,686,454,541,395,10.676,-112.141,0
74,1.23457,free_swing,699,441,557,379,18.277,-113.587,0
75,1.25125,free_swing,711,428,564,398,26.565,-101.535,0
76,1.26793,free_swing,719,417,574,399,33.378,-97.076,0
77,1.28462,free_swing,723,408,580,422,38.290,-84.408,0
78,1.3013,free_swing,726,401,593,420,42.397,-81.870,0
79,1.31798,free_swing,727,401,621,409,42.847,-85.684,0
80,1.33467,free_swing,725,404,606,472,40.732,-60.255,0
81,1.35135,free_swing,723,410,619,471,37.569,-59.607,0
82,1.36803,free_swing,718,419,650,439,32.300,-73.610,0
83,1.38472,free_swing,710,431,641,517,25.396,-38.741,0
84,1.4014,free_swing,699,444,656,557,17.819,-20.833,0
85,1.41808,free_swing,683,457,676,522,9.090,-6.147,0
86,1.43477,free_swing,660,473,694,597,-1.219,15.333,0
87,1.45145,free_swing,633,485,718,554,-11.094,50.932,0
88,1.46813,free_swing,608,491,711,546,-19.081,61.899,0
89,1.48482,free_swing,587,492,713,517,-25.408,78.778,0
90,1.5015,free_swing,569,491,712,542,-30.591,70.372,0
91,1.51818,free_swing,553,489,702,514,-35.017,80.475,0
92,1.53487,free_swing,538,485,695,476,-39.249,93.281,0
93,1.55155,free_swing,524,480,681,466,-43.204,95.096,0
94,1.56823,free_swing,509,474,668,469,-47.322,91.801,0
95,1.58492,free_swing,496,466,654,464,-51.257,90.725,0
96,1.6016,free_swing,483,457,642,451,-55.222,92.161,0
97,1.61828,free_swing,472,448,640,438,-58.728,93.406,0
98,1.63497,free_swing,462,438,607,474,-62.194,76.057,0
99,1.65165,free_swing,456,430,597,484,-64.666,69.044,0
100,1.66833,free_swing,451,424,590,479,-66.541,68.412,0
101,1.68502,free_swing,450,421,579,484,-67.323,63.970,0
102,1.7017,free_swing,450,422,556,525,-67.094,45.822,0
