t_s,theta1_deg,omega1_deg_s
5.0000,46.9494,-478.6238
6.0000,65.7878,-282.3712
7.0000,74.4910,-363.3666
8.0000,58.6806,-180.1114
9.0000,71.6769,-259.9603
10.0000,64.9416,-367.6329
11.0000,83.6875,-384.4055
12.0000,74.7336,-180.8493
13.0000,72.8057,-206.1512
14.0000,75.7896,-193.0044
15.0000,76.3510,-232.6237
16.0000,75.7895,-221.2949
17.0000,74.8460,-209.5405
18.0000,75.9081,-234.6063
19.0000,73.4137,-229.3437
20.0000,76.3748,-232.5973
21.0000,72.2210,-199.8003
22.0000,72.4277,-203.4844
23.0000,74.8636,-190.4995
24.0000,66.0338,-133.6856
25.0000,62.6757,-124.9673
26.0000,60.9214,-126.9942
27.0000,63.6909,-128.8363
28.0000,56.3820,-146.4015
29.0000,80.3185,-480.7658
30.0000,79.4423,-217.0457
31.0000,72.1759,-137.1657
32.0000,66.5938,-136.0632
33.0000,68.4212,-135.9660
34.0000,69.7716,-151.0765
35.0000,71.1195,-170.8931
36.0000,67.6122,-141.2057
37.0000,68.1852,-136.2179
38.0000,69.6187,-138.5722
39.0000,71.0648,-171.1079
