t_s,theta1_deg,omega1_deg_s
5.0000,-10.9316,-416.1106
6.0000,-18.3817,-503.0938
7.0000,-23.4735,-390.5118
8.0000,-25.9422,-735.4797
9.0000,-28.4811,-363.2123
10.0000,5.5633,-212.7418
11.0000,4.0530,-576.4264
12.0000,-2.5693,6.0755
13.0000,-8.5731,-466.8871
14.0000,1.3682,-377.7793
15.0000,-31.5452,-359.1082
16.0000,-35.1134,-417.5539
17.0000,-34.5448,-415.1368
18.0000,-28.6595,-362.0300
19.0000,7.1833,-303.8424
20.0000,-43.3303,-301.9004
21.0000,-42.3835,-363.6921
22.0000,-21.2638,-402.5005
23.0000,-12.8109,-293.4442
24.0000,-14.2118,-368.7061
25.0000,-15.2875,-357.8375
26.0000,-14.4251,-408.5960
27.0000,-38.6833,-344.8846
28.0000,-21.7988,-373.2897
29.0000,2.3383,-290.2144
30.0000,-11.8789,-399.0314
31.0000,16.9327,-302.2451
32.0000,-6.7228,-346.1769
33.0000,-18.5692,221.7143
34.0000,-20.8954,-372.0656
35.0000,-16.3483,-407.4062
36.0000,-22.3028,-324.0050
37.0000,-32.2107,-310.5272
38.0000,-37.7779,-450.5044
39.0000,-41.6429,-446.5789
40.0000,-37.7351,-455.1561
41.0000,-38.9423,-445.9161
42.0000,-37.8295,-429.5397
43.0000,-38.2274,-447.5637
44.0000,-39.3351,-460.5922
